country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Mongolia,Hong Kong and Taiwan,Mandarin,Khalkha Mongol,,123,Flex,FALSE,3rd,Team Kobolds,KBLD,Jett,Raze,Neon,29,526,508,102,1.03,1.23,230,18.1,17.5,3.5
Mongolia,Hong Kong and Taiwan,Mandarin,Khalkha Mongol,,Answerz,Anchor,FALSE,3rd,Team Kobolds,KBLD,Killjoy,Cypher,Viper,29,483,469,130,1.02,1.3,213,16.6,16.1,4.4
Taiwan,Hong Kong and Taiwan,Mandarin,,,Awei,Anchor,FALSE,5th-6th,ROA,ROA,Cypher,Phoenix,Killjoy,17,261,279,84,0.93,1.23,199,15.3,16.4,4.9
Taiwan,Hong Kong and Taiwan,Mandarin,,,B1ngXun,Anchor,FALSE,4th,Five Ace e-Sports,FA,Killjoy,Cypher,Viper,24,324,348,99,0.93,1.21,185,13.5,14.5,4.1
Mongolia,Hong Kong and Taiwan,Mandarin,Khalkha Mongol,,BE,Support,FALSE,3rd,Team Kobolds,KBLD,Skye,Omen,Sova,29,385,462,191,0.83,1.24,163,13.2,15.9,6.5
International,Hong Kong and Taiwan,Mandarin,English,,Boyi,Flex,FALSE,8th,Da Feng Gou,DFG,Omen,Viper,Brimstone,16,194,258,135,0.75,1.27,161,12.1,16.1,8.4
International,Hong Kong and Taiwan,Mandarin,English,,Bubble,Entry,FALSE,8th,Da Feng Gou,DFG,Jett,,,2,26,34,4,0.76,0.88,182,13,17,2
Hong Kong,Hong Kong and Taiwan,Mandarin,Cantonese,English,CHIMEI,Flex,FALSE,1st,Oblivion Force,OF,Skye,KAY/O,Fade,29,339,389,290,0.87,1.61,168,11.6,13.4,10
Taiwan,Hong Kong and Taiwan,Mandarin,,,Cangshu,Support,FALSE,4th,Five Ace e-Sports,FA,Neon,KAY/O,Skye,12,159,195,87,0.81,1.26,186,13.2,16.2,7.2
Taiwan,Hong Kong and Taiwan,Mandarin,,,Dizzy,Support,FALSE,7th,Hungkuang Falcon,HKUF,Omen,Gekko,Sova,15,217,247,101,0.87,1.28,193,14.4,16.4,6.7
Taiwan,Hong Kong and Taiwan,Mandarin,,,Ethan1,Anchor,FALSE,5th-6th,PAPA Esports,PAPA,Killjoy,Cypher,Reyna,22,297,321,79,0.92,1.17,194,13.5,14.5,3.5
Hong Kong,Hong Kong and Taiwan,Mandarin,Cantonese,English,GGHuiii,Sage,FALSE,1st,Oblivion Force,OF,Chamber,,,1,32,22,7,1.45,1.77,255,32,22,7
Taiwan,Hong Kong and Taiwan,Mandarin,,,GunterR,Smoker,FALSE,7th,Hungkuang Falcon,HKUF,Viper,Omen,Skye,15,225,245,114,0.91,1.38,193,15,16.3,7.6
Taiwan,Hong Kong and Taiwan,Mandarin,,,KiN0,Smoker,FALSE,2nd,ONE Team,ONE,Brimstone,Viper,,4,59,64,27,0.92,1.34,177,14.7,16,6.7
Hong Kong,Hong Kong and Taiwan,Mandarin,Cantonese,English,Kiuuuu,Smoker,FALSE,1st,Oblivion Force,OF,Omen,Viper,,28,450,374,198,1.2,1.73,214,16,13.3,7
Taiwan,Hong Kong and Taiwan,Mandarin,,,N11,Flex,FALSE,5th-6th,PAPA Esports,PAPA,KAY/O,Sova,Gekko,22,307,324,155,0.94,1.42,196,13.9,14.7,7
Taiwan,Hong Kong and Taiwan,Mandarin,,,Nasty,Entry,FALSE,5th-6th,PAPA Esports,PAPA,Jett,Raze,Cypher,20,373,308,63,1.21,1.41,255,18.6,15.4,3.1
Mongolia,Hong Kong and Taiwan,Mandarin,Khalkha Mongol,,Orgil,Flex,FALSE,3rd,Team Kobolds,KBLD,Breach,KAY/O,Sova,29,407,490,225,0.83,1.28,185,14,16.8,7.7
Taiwan,Hong Kong and Taiwan,Mandarin,,,Popoman4Q,Smoker,FALSE,5th-6th,PAPA Esports,PAPA,Sova,Viper,Omen,22,255,299,167,0.85,1.41,166,11.5,13.5,7.5
Taiwan,Hong Kong and Taiwan,Mandarin,,,QueYa,Flex,FALSE,5th-6th,ROA,ROA,Gekko,Sova,Skye,18,220,308,123,0.71,1.11,163,12.2,17.1,6.8
Taiwan,Hong Kong and Taiwan,Mandarin,,,Rainy,Support,FALSE,2nd,ONE Team,ONE,Fade,Omen,Gekko,27,367,352,213,1.04,1.64,178,13.5,13,7.8
