country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Brazil,Sato,Galorys,GLRS,1,Entry,Jett,Raze,Neon,39,762,615,118,1.23,1.43,259,19.5,15.7,3,Portuguese,NaN,NaN
Brazil,ghoul33,THE 7,777,2,Flex,Iso,Jett,Raze,28,512,439,96,1.16,1.38,248,18.2,15.6,3.4,Portuguese,NaN,NaN
Brazil,Zanatsu,RED Canids,RED,5,Entry,Raze,Jett,Neon,24,413,387,97,1.06,1.31,245,17.2,16.1,4,Portuguese,NaN,NaN
Brazil,blowz,THE 7,777,2,Entry,Neon,Raze,Gekko,28,486,404,131,1.2,1.52,244,17.3,14.4,4.6,Portuguese,NaN,NaN
Brazil,dgzin,Hero Base,HERO,8,Entry,Raze,Jett,Neon,27,503,445,96,1.13,1.34,243,18.6,16.4,3.5,Portuguese,NaN,NaN
Brazil,spikeziN,2GAME Esports,2G,3,Entry,Neon,Gekko,Yoru,30,544,455,210,1.19,1.65,240,18.1,15.1,7,Portuguese,NaN,NaN
Brazil,silentzz,2GAME Esports,2G,3,Entry,Jett,Killjoy,Raze,30,570,476,100,1.19,1.4,236,19,15.8,3.3,Portuguese,NaN,NaN
Brazil,Gobera,Legacy,LGCY,9,Entry,Raze,Jett,Yoru,20,340,303,84,1.12,1.39,228,17,15.1,4.2,Portuguese,NaN,NaN
Brazil,Tisora,SAGAZ,SGZ,10,Entry,Raze,Jett,Neon,23,371,383,100,0.96,1.22,227,16.1,16.6,4.3,Portuguese,NaN,NaN
United States,PxS,Stellae Gaming,STE,4,Entry,Raze,Jett,Neon,38,639,625,175,1.02,1.3,226,16.8,16.4,4.6,English,NaN,NaN
Brazil,Cortezia,RED Canids,RED,5,Smoker,Omen,Brimstone,Viper,24,409,331,174,1.23,1.76,225,17,13.7,7.2,Portuguese,NaN,NaN
Brazil,brinks,TBK Esports,TBK,5,Smoker,Omen,Brimstone,Killjoy,26,425,336,179,1.26,1.79,223,16.3,12.9,6.8,Portuguese,NaN,NaN
Brazil,Lukxo,Galorys,GLRS,1,Lurker,Omen,Viper,Cypher,39,654,597,270,1.09,1.54,221,16.7,15.3,6.9,Portuguese,NaN,NaN
Brazil,forbanz,XLD Gaming,XLD,7,Entry,Jett,Neon,Raze,29,456,467,102,0.97,1.19,218,15.7,16.1,3.5,Portuguese,NaN,NaN
Brazil,xenom,Stellae Gaming,STE,4,Smoker,Omen,Brimstone,Viper,38,646,506,264,1.27,1.79,212,17,13.3,6.9,Portuguese,NaN,NaN
Brazil,Siduzord,Stellae Gaming,STE,4,Recon,Sova,Gekko,Fade,38,611,543,245,1.12,1.57,210,16,14.2,6.4,Portuguese,NaN,NaN
Brazil,RND,TBK Esports,TBK,5,Entry,Raze,Jett,Neon,26,353,418,102,0.84,1.08,201,13.5,16,3.9,Portuguese,NaN,NaN
Brazil,bezn1,TBK Esports,TBK,5,Lurker,Viper,Killjoy,Cypher,26,357,382,163,0.93,1.36,201,13.7,14.6,6.2,Portuguese,NaN,NaN
Brazil,CidZzZ,Legacy,LGCY,9,Recon,Sova,Gekko,Fade,20,293,285,126,1.02,1.47,195,14.6,14.2,6.3,Portuguese,NaN,NaN
Brazil,pancc,Hero Base,HERO,8,Lurker,Viper,Cypher,Killjoy,27,403,402,111,1,1.27,195,14.9,14.8,4.1,Portuguese,NaN,NaN
Brazil,Kenkayyy,XLD Gaming,XLD,7,Smoker,Omen,Viper,Brimstone,29,420,441,193,0.95,1.39,195,14.4,15.2,6.6,Portuguese,NaN,NaN
Brazil,prince,THE 7,777,2,Smoker,Omen,Breach,Viper,28,390,345,215,1.13,1.75,191,13.9,12.3,7.6,Portuguese,NaN,NaN
Brazil,pollo,THE 7,777,2,Lurker,Cypher,Omen,Killjoy,28,399,375,135,1.06,1.42,191,14.2,13.3,4.8,Portuguese,NaN,NaN
Brazil,zap,2GAME Esports,2G,3,Smoker,Viper,Omen,Breach,30,448,427,205,1.04,1.52,191,14.9,14.2,6.8,Portuguese,NaN,NaN
Brazil,gaabxx,RED Canids,RED,5,Recon,Skye,Sova,Breach,24,334,335,164,0.99,1.48,189,13.9,13.9,6.8,Portuguese,NaN,NaN
Brazil,guhRVN,Hero Base,HERO,8,Smoker,Omen,Brimstone,Viper,27,390,403,195,0.96,1.45,189,14.4,14.9,7.2,Portuguese,NaN,NaN
Brazil,Lewa,SAGAZ,SGZ,10,Anchor,Cypher,Viper,Killjoy,23,333,334,88,0.99,1.26,189,14.4,14.5,3.8,Portuguese,NaN,NaN
Brazil,V1nNy,RED Canids,RED,5,Anchor,Viper,Sage,KAY/O,24,320,353,178,0.9,1.41,188,13.3,14.7,7.4,Portuguese,NaN,NaN
Brazil,ntk,XLD Gaming,XLD,7,Recon,Sova,Skye,Fade,29,385,451,204,0.85,1.3,188,13.2,15.5,7,Portuguese,NaN,NaN
Brazil,Urango,Galorys,GLRS,1,Flash,KAY/O,Raze,Breach,39,551,639,264,0.86,1.27,188,14.1,16.3,6.7,Portuguese,NaN,NaN
Brazil,DrakoNz,Legacy,LGCY,9,Smoker,Omen,Brimstone,Killjoy,20,279,299,122,0.93,1.34,187,13.9,14.9,6.1,Portuguese,NaN,NaN
Brazil,woddy,XLD Gaming,XLD,7,Anchor,Killjoy,Cypher,Viper,29,414,420,110,0.98,1.24,186,14.2,14.4,3.7,Portuguese,NaN,NaN
Brazil,shion,THE 7,777,2,Recon,Skye,KAY/O,Fade,28,348,378,266,0.92,1.62,184,12.4,13.5,9.5,Portuguese,NaN,NaN
Brazil,guuih,Stellae Gaming,STE,4,Anchor,Cypher,Killjoy,Viper,38,534,517,171,1.03,1.36,184,14,13.6,4.5,Portuguese,NaN,NaN
Brazil,prozin,TBK Esports,TBK,5,Anchor,Sage,Killjoy,KAY/O,26,339,364,162,0.93,1.37,183,13,14,6.2,Portuguese,NaN,NaN
Brazil,Lz,2GAME Esports,2G,3,Smoker,Omen,Astra,Viper,30,421,439,250,0.95,1.52,183,14,14.6,8.3,Portuguese,NaN,NaN
Brazil,SwaG,Legacy,LGCY,9,Anchor,Cypher,Killjoy,Viper,20,273,299,84,0.91,1.19,183,13.6,14.9,4.2,Portuguese,NaN,NaN
Brazil,Rood,Galorys,GLRS,1,Anchor,Killjoy,Viper,Cypher,39,526,553,237,0.95,1.37,181,13.4,14.1,6,Portuguese,NaN,NaN
Brazil,phc,SAGAZ,SGZ,10,Smoker,Omen,Viper,Brimstone,23,302,349,152,0.86,1.3,180,13.1,15.1,6.6,Portuguese,NaN,NaN
Brazil,PryZee,2GAME Esports,2G,3,Recon,Sova,Fade,Skye,30,410,419,215,0.97,1.49,180,13.6,13.9,7.1,Portuguese,NaN,NaN
Brazil,nicksz,Stellae Gaming,STE,4,Flash,Breach,KAY/O,Viper,38,492,598,374,0.82,1.44,178,12.9,15.7,9.8,Portuguese,NaN,NaN
Brazil,gbz,SAGAZ,SGZ,10,Flash,Breach,KAY/O,Sova,23,288,365,156,0.78,1.21,178,12.5,15.8,6.7,Portuguese,NaN,NaN
Brazil,askia,Hero Base,HERO,8,Flash,Breach,Gekko,KAY/O,27,344,386,229,0.89,1.48,176,12.7,14.2,8.4,Portuguese,NaN,NaN
