country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Argentina,Dantedeu5,All Knights,AK,2,Entry,Neon,Jett,Gekko,12,218,184,73,1.18,1.58,258,18.1,15.3,6,Spanish,NaN,NaN
Dominican Republic,Virtyy,E-Xolos LAZER,EXL,3,Entry,Neon,Raze,Jett,10,176,155,45,1.13,1.42,254,17.6,15.5,4.5,Spanish,NaN,NaN
Argentina,Cebando,All Knights,AK,2,Smoker,Omen,Astra,Brimstone,12,201,154,100,1.3,1.95,221,16.7,12.8,8.3,Spanish,NaN,NaN
Chile,NagZ,RETA Esports,RETA,1,Anchor,Killjoy,Viper,Cypher,7,101,89,39,1.13,1.57,218,14.4,12.7,5.5,Spanish,NaN,NaN
Chile,delz1k,RETA Esports,RETA,1,Smoker,Omen,Viper,Brimstone,7,114,91,53,1.25,1.83,218,16.2,13,7.5,Spanish,NaN,NaN
Brazil,snw,RETA Esports,RETA,1,Entry,Jett,Raze,NaN,7,108,100,20,1.08,1.28,216,15.4,14.2,2.8,Portuguese,NaN,NaN
Chile,mozen,9z Team,9ZG,4,Smoker,Omen,Brimstone,Sage,5,76,73,35,1.04,1.52,214,15.2,14.6,7,Spanish,NaN,NaN
Argentina,Rubkkoide,9z Team,9ZG,4,Recon,Sova,Omen,Jett,5,71,76,27,0.93,1.28,206,14.2,15.2,5.4,Spanish,NaN,NaN
Costa Rica,Feniz,E-Xolos LAZER,EXL,3,Anchor,Cypher,Viper,Gekko,10,137,141,54,0.97,1.35,190,13.7,14.1,5.4,Spanish,NaN,NaN
Chile,adverso,All Knights,AK,2,Recon,Sova,Breach,Fade,12,151,155,113,0.97,1.7,187,12.5,12.9,9.4,Spanish,NaN,NaN
Brazil,murizzz,RETA Esports,RETA,1,Recon,Sova,Skye,Fade,7,93,102,34,0.91,1.24,185,13.2,14.5,4.8,Portuguese,NaN,NaN
Chile,NicoMachine,All Knights,AK,2,Recon,Fade,Breach,KAY/O,12,154,166,140,0.92,1.77,184,12.8,13.8,11.6,Spanish,NaN,NaN
Chile,SUTHER,RETA Esports,RETA,1,Flash,Harbor,Breach,Gekko,7,87,88,64,0.98,1.71,182,12.4,12.5,9.1,Spanish,NaN,NaN
Chile,Tuli,9z Team,9ZG,4,Entry,Neon,Jett,Yoru,5,60,81,28,0.74,1.08,182,12,16.2,5.6,Spanish,NaN,NaN
Argentina,deigara,9z Team,9ZG,4,Flash,Breach,Raze,Killjoy,5,67,78,23,0.85,1.15,182,13.4,15.6,4.6,Spanish,NaN,NaN
Colombia,Darker,E-Xolos LAZER,EXL,3,Flash,Breach,Skye,Astra,10,134,146,62,0.91,1.34,182,13.4,14.6,6.2,Spanish,NaN,NaN
Colombia,Mited,E-Xolos LAZER,EXL,3,Smoker,Omen,Brimstone,NaN,10,123,133,86,0.92,1.57,181,12.3,13.3,8.6,Spanish,NaN,NaN
Argentina,mizu,9z Team,9ZG,4,Anchor,Cypher,Viper,Skye,5,57,77,31,0.74,1.14,168,11.4,15.4,6.2,Spanish,NaN,NaN
Colombia,Jow,E-Xolos LAZER,EXL,3,Smoker,Sova,Viper,Omen,10,115,134,40,0.85,1.15,154,11.5,13.4,4,Spanish,NaN,NaN
Argentina,tinchoff,All Knights,AK,2,Anchor,Cypher,Viper,NaN,12,123,147,59,0.83,1.23,141,10.2,12.2,4.9,Spanish,NaN,NaN
