country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Argentina,Dantedeu5,All Knights,AK,1,Entry,Jett,Raze,Fade,22,447,345,117,1.29,1.63,260,20.3,15.6,5.3,Spanish,NaN,NaN
Chile,Tuli,9z Team,9ZG,2,Entry,Raze,Jett,NaN,20,378,299,68,1.26,1.49,257,18.9,14.9,3.4,Spanish,NaN,NaN
Argentina,Neon,Furious Gaming,FG,4,Entry,Jett,Yoru,Raze,18,299,289,76,1.03,1.29,222,16.6,16,4.2,Spanish,NaN,NaN
Chile,jvhz,XSOUL,XS,6,Entry,Raze,Jett,Killjoy,12,172,178,49,0.96,1.24,215,14.3,14.8,4,Spanish,NaN,NaN
Chile,adverso,All Knights,AK,1,Smoker,Viper,Sova,Breach,22,354,319,188,1.1,1.69,214,16,14.5,8.5,Spanish,NaN,NaN
Chile,benG,XSOUL,XS,6,Anchor,Cypher,Killjoy,Gekko,12,182,182,39,1,1.21,213,15.1,15.1,3.2,Spanish,NaN,NaN
Chile,sh0twell,Zen eSports,ZEN,5,Entry,Raze,Jett,Sage,9,153,144,36,1.06,1.31,207,17,16,4,Spanish,NaN,NaN
Chile,erde,Furious Gaming,FG,4,Smoker,Viper,Sova,Breach,18,286,269,113,1.06,1.48,207,15.8,14.9,6.2,Spanish,NaN,NaN
Argentina,mizu,9z Team,9ZG,2,Lurker,Viper,Cypher,Killjoy,20,294,291,96,1.01,1.34,205,14.7,14.5,4.8,Spanish,NaN,NaN
Argentina,rubkkoide,9z Team,9ZG,2,Recon,Sova,Skye,Gekko,20,298,265,156,1.12,1.71,203,14.9,13.2,7.8,Spanish,NaN,NaN
Chile,kiv4ry,OXEN,OXEN,3,Entry,Raze,Jett,Sage,20,294,300,82,0.98,1.25,203,14.7,15,4.1,Spanish,NaN,NaN
Chile,Crazy NY,XSOUL,XS,6,Smoker,Viper,Brimstone,Killjoy,12,172,170,55,1.01,1.33,202,14.3,14.1,4.5,Spanish,NaN,NaN
Argentina,Cebando,All Knights,AK,1,Smoker,Omen,Astra,Harbor,22,345,305,194,1.13,1.76,197,15.6,13.8,8.8,Spanish,NaN,NaN
Argentina,jcz,OXEN,OXEN,3,Flash,Gekko,Sova,Deadlock,20,288,287,116,1,1.4,196,14.4,14.3,5.8,Spanish,NaN,NaN
Argentina,Rco,Zen eSports,ZEN,5,Smoker,Omen,Viper,Astra,13,184,204,101,0.9,1.39,193,14.1,15.6,7.7,Spanish,NaN,NaN
Argentina,deigara,9z Team,9ZG,2,Smoker,Omen,Brimstone,Killjoy,20,288,282,135,1.02,1.5,192,14.4,14.1,6.7,Spanish,NaN,NaN
Chile,NicoMachine,All Knights,AK,1,Recon,Raze,KAY/O,Skye,22,320,327,221,0.97,1.65,191,14.5,14.8,10,Spanish,NaN,NaN
Chile,mozen,9z Team,9ZG,2,Flash,Breach,Omen,KAY/O,20,295,259,161,1.13,1.76,190,14.7,12.9,8,Spanish,NaN,NaN
Argentina,Kimb0,OXEN,OXEN,3,Lurker,Viper,Cypher,Astra,20,280,289,87,0.96,1.26,188,14,14.4,4.3,Spanish,NaN,NaN
Argentina,Forcee,OXEN,OXEN,3,Recon,KAY/O,Skye,Sova,20,264,266,223,0.99,1.83,187,13.2,13.3,11.1,Spanish,NaN,NaN
Argentina,jotinha,OXEN,OXEN,3,Smoker,Omen,Astra,Viper,20,266,279,148,0.95,1.48,185,13.3,13.9,7.4,Spanish,NaN,NaN
Argentina,Neto,Zen eSports,ZEN,5,Anchor,Killjoy,Chamber,Cypher,9,130,150,21,0.86,1,183,14.4,16.6,2.3,Spanish,NaN,NaN
Chile,ganter,Zen eSports,ZEN,5,Flash,Gekko,NaN,NaN,1,16,18,6,0.88,1.22,178,16,18,6,Spanish,NaN,NaN
Brazil,tkzin,Furious Gaming,FG,4,Recon,Raze,KAY/O,Fade,18,246,297,97,0.82,1.15,174,13.6,16.5,5.3,Portuguese,NaN,NaN
Argentina,tinchoff,All Knights,AK,1,Anchor,Killjoy,Cypher,Viper,22,309,276,70,1.11,1.37,172,14,12.5,3.1,Spanish,NaN,NaN
Argentina,HANLING,Zen eSports,ZEN,5,Flash,Breach,Skye,KAY/O,14,188,212,130,0.88,1.5,169,13.4,15.1,9.2,Spanish,NaN,NaN
Chile,chubi,Zen eSports,ZEN,5,Recon,Sova,Brimstone,Breach,8,102,142,42,0.71,1.01,168,12.7,17.7,5.2,Spanish,NaN,NaN
Chile,Haitam,XSOUL,XS,6,Recon,Skye,KAY/O,Viper,12,133,184,70,0.72,1.1,165,11,15.3,5.8,Spanish,NaN,NaN
Chile,skyppervz,Furious Gaming,FG,4,Flash,Killjoy,Gekko,KAY/O,18,226,289,73,0.78,1.03,163,12.5,16,4,Spanish,NaN,NaN
Argentina,Mikey Tap,Furious Gaming,FG,4,Smoker,Omen,Harbor,Astra,18,226,277,140,0.81,1.32,161,12.5,15.3,7.7,Spanish,NaN,NaN
Argentina,Closer,Zen eSports,ZEN,5,Recon,Sova,Viper,Breach,3,35,43,17,0.81,1.2,154,11.6,14.3,5.6,Spanish,NaN,NaN
Chile,Fross,XSOUL,XS,6,Smoker,Omen,Viper,Gekko,8,81,111,36,0.72,1.05,152,10.1,13.8,4.5,Spanish,NaN,NaN
Chile,EvoLuZionz,XSOUL,XS,6,Recon,Astra,Skye,Sova,4,36,64,23,0.56,0.92,130,9,16,5.7,Spanish,NaN,NaN
