country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
United Kingdom,Lime,FOKUS,FKS,4,Flex,Yoru,Sage,Jett,30,550,368,129,1.49,1.84,249,18.3,12.2,4.3,English,NaN,NaN
Poland,xuss,MOUZ,MOUZ,1,Entry,Raze,Yoru,Jett,38,751,581,122,1.29,1.5,248,19.7,15.2,3.2,Polish,NaN,NaN
Serbia,elllement,CGN Esports,CGN,2,Entry,Raze,Jett,NaN,27,472,365,102,1.29,1.57,243,17.4,13.5,3.7,Serbian,NaN,NaN
Germany,Click,SK Gaming,SK,7,Entry,Jett,Clove,Raze,20,394,344,54,1.14,1.3,243,19.7,17.2,2.7,German,NaN,NaN
Germany,quantumrino,Permitta Unicorns,PXU,8,Entry,Raze,Jett,Chamber,20,344,356,73,0.96,1.17,234,17.2,17.8,3.6,German,NaN,NaN
Portugal,DaviH,CGN Esports,CGN,2,Recon,Sova,Sage,NaN,27,439,322,185,1.36,1.93,226,16.2,11.9,6.8,Portuguese,Mirandese,NaN
Germany,zery,XPERION NXT,NXT,9,Entry,Raze,Jett,Yoru,20,341,354,85,0.96,1.2,223,17,17.7,4.2,German,NaN,NaN
Germany,Magnus,ALTERNATE aTTaX,ATN,5,Entry,Raze,Jett,Neon,27,429,378,77,1.13,1.33,223,15.8,14,2.8,German,NaN,NaN
Switzerland,kovaQ,ALTERNATE aTTaX,ATN,5,Recon,Sova,KAY/O,Skye,27,424,367,205,1.15,1.71,223,15.7,13.5,7.5,German,French,Italian
Germany,luckeRRR,Eintracht Frankfurt,SGE,3,Lurker,Sage,Yoru,Omen,29,494,458,210,1.07,1.53,219,17,15.7,7.2,German,NaN,NaN
Germany,Leosen,Eintracht Frankfurt,SGE,3,Entry,Raze,Jett,Neon,29,514,490,99,1.04,1.25,217,17.7,16.8,3.4,German,NaN,NaN
Germany,al0rante,FOKUS,FKS,4,Lurker,Cypher,Astra,Viper,30,473,410,113,1.15,1.42,215,15.7,13.6,3.7,German,NaN,NaN
Germany,Linus,DIVIZON,DIV,6,Lurker,Omen,Cypher,NaN,24,388,397,170,0.97,1.4,214,16.1,16.5,7,German,NaN,NaN
Wales,YaBoiLewis,FOKUS,FKS,4,Recon,KAY/O,Raze,Skye,30,449,422,206,1.06,1.55,214,14.9,14,6.8,Welsh,English,NaN
Egypt,Ziad,DIVIZON,DIV,6,Entry,Raze,Jett,Yoru,24,378,392,110,0.96,1.24,212,15.7,16.3,4.5,Arabic,NaN,NaN
Portugal,Fizzy,MOUZ,MOUZ,1,Anchor,Cypher,Viper,Killjoy,38,649,556,176,1.16,1.48,209,17,14.6,4.6,Portuguese,Mirandese,NaN
Greece,eXampL,DIVIZON,DIV,6,Recon,Sova,Skye,Viper,24,395,320,170,1.23,1.76,207,16.4,13.3,7,Greek,NaN,NaN
United Kingdom,aNguiSt,CGN Esports,CGN,2,Anchor,Killjoy,Viper,Cypher,27,422,361,93,1.16,1.42,203,15.6,13.3,3.4,English,NaN,NaN
Germany,Shazeon,Eintracht Frankfurt,SGE,3,Anchor,Cypher,Viper,Killjoy,29,486,456,181,1.06,1.46,203,16.7,15.7,6.2,German,NaN,NaN
United Kingdom,Luzuh,Ovation eSports,OVA,10,Entry,Jett,Raze,Chamber,21,296,332,67,0.89,1.09,202,14,15.8,3.1,English,NaN,NaN
