country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Belarus,7ssk7,NASR Esports,NASR,Levant and North Africa,3,Flash,Breach,Skye,Fade,33,459,370,321,1.24,2.1,192,13.9,11.2,9.7,Russian,Belarusian,
Poland,999kvmil,Ex0Tik Gaming,EX0,Portugal,3,Flex,Fade,Raze,Yoru,21,281,282,79,0.99,1.27,203,13.3,13.4,3.7,Polish,,
Palestine,A1mly,Underground Gaming,UG,GCC and Iraq,3,Lurker,Killjoy,Cypher,Yoru,34,476,489,108,0.97,1.19,190,14.0,14.3,3.1,Arabic,,
Algeria,ACHRF,Onyx Ravens,OXR,Levant and North Africa,4,Flash,Gekko,Sova,Skye,33,471,463,213,1.01,1.47,196,14.2,14.0,6.4,Arabic,French,
France,AKUMAAAAA,Mandatory,MDR,France,4,Smoker,Omen,KAY/O,Harbor,26,435,397,176,1.09,1.53,223,16.7,15.2,6.7,French,,
Israel,ALIVE,Acend,ACE,East EMEA,3,Entry,Jett,Raze,,36,591,550,137,1.07,1.32,214,16.4,15.2,3.8,Hebrew,,
Russia,ANXiOS,trashcan,TR,East EMEA,4,Recon,Skye,Omen,KAY/O,34,334,517,324,0.64,1.27,147,9.8,15.2,9.5,Russian,,
Netherlands,APHUN,SweetNSour,SNS,North EMEA,2,Lurker,Omen,Cypher,,4,83,59,31,1.4,1.93,256,20.7,14.7,7.7,Dutch,,
France,APO,Solary,SLY,France,7,Recon,Sova,Fade,Skye,19,283,316,133,0.89,1.31,183,14.8,16.6,7.0,French,,
Italy,ASTER,RTZN,RTZN,Italy,7,Recon,KAY/O,Breach,Fade,13,159,203,95,0.78,1.25,162,12.2,15.6,7.3,Italian,,
Portugal,Addicted,SAW,SAW,Portugal,1,Recon,Sova,Gekko,Deadlock,22,321,242,139,1.32,1.9,208,14.5,11.0,6.3,Portuguese,Mirandese,
United Arab Emirates,Akai,Team Falcons,FLC,GCC and Iraq,1,Entry,Raze,Jett,Reyna,33,692,450,112,1.53,1.78,297,20.9,13.6,3.3,Arabic,,
