country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
France,CyvOph,Mandatory,MDR,4,Entry,Raze,Sage,KAY/O,15,262,224,101,1.16,1.62,240,17.4,14.9,6.7,French,NaN,NaN
France,kAdavra,DVM,DVM,8,Smoker,Omen,Breach,NaN,3,60,41,28,1.46,2.14,237,20,13.6,9.3,French,NaN,NaN
France,lux9,ZERANCE,ZER,3,Entry,Raze,Jett,Yoru,26,449,393,90,1.14,1.37,236,17.2,15.1,3.4,French,NaN,NaN
France,Goaster,Mandatory,MDR,4,Entry,Raze,Jett,Yoru,18,300,281,83,1.06,1.36,234,16.6,15.6,4.6,French,NaN,NaN
Ireland,juseu,DVM,DVM,8,Entry,Raze,Jett,NaN,11,186,155,30,1.2,1.39,234,16.9,14,2.7,French,English,NaN
Russia,d3ffo,Valiant,VLNT,2,Entry,Raze,Jett,Neon,25,434,384,99,1.13,1.38,233,17.3,15.3,3.9,French,Russian,NaN
Poland,jas,Joblife,JL,1,Entry,Raze,Jett,Neon,25,399,368,88,1.08,1.32,225,15.9,14.7,3.5,French,Polish,NaN
France,AKUMAAAAA,Mandatory,MDR,4,Smoker,Omen,KAY/O,Harbor,26,435,397,176,1.09,1.53,223,16.7,15.2,6.7,French,NaN,NaN
Czechia,Jesse,Valiant,VLNT,2,Smoker,Omen,Viper,NaN,25,438,359,189,1.22,1.74,223,17.5,14.3,7.5,French,Czech,NaN
Belgium,Kinguyen,Solary,SLY,7,Entry,Jett,Raze,Yoru,19,337,326,82,1.03,1.28,221,17.7,17.1,4.3,French,Dutch,German
France,Killu,Akroma,AKR,6,Anchor,Viper,Deadlock,Cypher,18,307,270,94,1.13,1.48,217,17,15,5.2,French,NaN,NaN
Poland,kamyk,Joblife,JL,1,Flash,KAY/O,Breach,Gekko,25,405,342,215,1.18,1.81,216,16.2,13.6,8.6,French,Polish,NaN
Hungary,Szimpli,DVM,DVM,8,Entry,Phoenix,Jett,Raze,19,294,306,84,0.96,1.23,216,15.4,16.1,4.4,French,Hungarian,NaN
France,Veqaj,ZERANCE,ZER,3,Flash,Viper,Breach,Skye,26,405,324,217,1.25,1.91,213,15.5,12.4,8.3,French,NaN,NaN
Russia,Sp1ke,Cicadas Gaming,CG,5,Entry,Jett,Raze,Neon,18,266,273,72,0.97,1.23,213,14.7,15.1,4,French,Russian,NaN
Netherlands,MAGiK,Joblife,JL,1,Smoker,Omen,Brimstone,Killjoy,25,384,344,172,1.11,1.61,210,15.3,13.7,6.8,French,Dutch,NaN
Russia,Jady,ZERANCE,ZER,3,Anchor,Cypher,Viper,Killjoy,26,394,353,127,1.11,1.47,209,15.1,13.5,4.8,French,Russian,NaN
France,Yohpa,Cicadas Gaming,CG,5,Flex,Yoru,Sova,Sage,18,278,263,95,1.05,1.41,205,15.4,14.6,5.2,French,NaN,NaN
Czechia,Ambi,Valiant,VLNT,2,Flash,KAY/O,Breach,Deadlock,25,366,368,216,0.99,1.58,197,14.6,14.7,8.6,French,Czech,NaN
