country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Poland,Filu,DSYRE,DSY,1,Entry,Jett,Raze,Neon,19,383,257,67,1.49,1.75,274,20.1,13.5,3.5,Italian,Polish,NaN
Italy,Davia,VX300 Gaming,VX3,5,Entry,Raze,NaN,NaN,1,19,16,6,1.18,1.56,267,19,16,6,Italian,NaN,NaN
Ukraine,Javelin,LONETEAM,LONE,6,Entry,Raze,Jett,Reyna,12,211,192,39,1.09,1.3,252,17.5,16,3.2,Italian,Ukrainian,NaN
Italy,bipo,NOVO Esports,NOVO,2,Entry,Jett,Neon,Yoru,22,359,290,88,1.23,1.54,248,16.3,13.1,4,Italian,NaN,NaN
Turkey,BALLI,HGE Esports,HE,4,Recon,Sova,KAY/O,Clove,17,301,243,106,1.23,1.67,240,17.7,14.2,6.2,Italian,Turkish,NaN
Turkey,d3mur,Outplayed,OP,3,Entry,Jett,Raze,NaN,8,148,142,27,1.04,1.23,240,18.5,17.7,3.3,Italian,Turkish,NaN
Estonia,WACKIE,DSYRE,DSY,1,Flash,KAY/O,Gekko,Viper,19,325,221,172,1.47,2.24,234,17.1,11.6,9,Italian,Estonian,NaN
Italy,eya,Axolotl,AXL,8,Entry,Jett,NaN,NaN,2,28,33,3,0.84,0.93,231,14,16.5,1.5,Italian,NaN,NaN
Italy,Z3R0,Outplayed,OP,3,Smoker,Omen,Brimstone,KAY/O,20,336,285,212,1.17,1.92,227,16.8,14.2,10.6,Italian,NaN,NaN
Italy,Braso,HGE Esports,HE,4,Anchor,Killjoy,Chamber,Cypher,17,294,281,58,1.04,1.25,219,17.2,16.5,3.4,Italian,NaN,NaN
Finland,h1ber,NOVO Esports,NOVO,2,Anchor,Sage,Breach,Sova,22,304,276,178,1.1,1.74,216,13.8,12.5,8,Italian,Finnish,Swedish
Russia,basya,VX300 Gaming,VX3,5,Anchor,Killjoy,Cypher,Viper,13,190,182,63,1.04,1.39,213,14.6,14,4.8,Italian,Russian,NaN
Russia,rexxtoned,RTZN,RTZN,7,Smoker,Omen,Brimstone,Killjoy,13,200,197,66,1.01,1.35,211,15.3,15.1,5,Italian,Russian,NaN
Netherlands,JimBk,LONETEAM,LONE,6,Recon,Sova,Neon,NaN,14,197,215,86,0.91,1.31,207,14,15.3,6.1,Italian,Dutch,NaN
Turkey,VuexLex,HGE Esports,HE,4,Entry,Jett,Raze,NaN,12,183,189,40,0.96,1.17,206,15.2,15.7,3.3,Italian,Turkish,NaN
Italy,alannn,NOVO Esports,NOVO,2,Anchor,Killjoy,Cypher,Deadlock,22,302,254,70,1.18,1.46,204,13.7,11.5,3.1,Italian,NaN,NaN
Russia,Anq,VX300 Gaming,VX3,5,Entry,Raze,Jett,NaN,9,128,117,19,1.09,1.25,204,14.2,13,2.1,Italian,Russian,NaN
Italy,Browse,LONETEAM,LONE,6,Anchor,Killjoy,Cypher,Sage,13,192,192,42,1,1.21,202,14.7,14.7,3.2,Italian,NaN,NaN
Italy,DrastZ,VX300 Gaming,VX3,5,Recon,KAY/O,Omen,Sage,13,179,179,99,1,1.55,202,13.7,13.7,7.6,Italian,NaN,NaN
United Kingdom,otom,HGE Esports,HE,4,Entry,Yoru,Neon,Jett,3,49,51,21,0.96,1.37,201,16.3,17,7,Italian,English,NaN
Italy,Tag,DSYRE,DSY,1,Lurker,Viper,Killjoy,Cypher,19,269,233,117,1.15,1.65,201,14.1,12.2,6.1,Italian,NaN,NaN
United Kingdom,waddle,DSYRE,DSY,1,Recon,Sova,Skye,Fade,19,280,213,143,1.31,1.98,200,14.7,11.2,7.5,Italian,English,NaN
Italy,Pax,RTZN,RTZN,7,Entry,Raze,Jett,NaN,11,156,198,36,0.78,0.96,198,14.1,18,3.2,Italian,NaN,NaN
Portugal,starkk,NOVO Esports,NOVO,2,Smoker,Viper,Omen,Astra,22,286,244,145,1.17,1.76,196,13,11,6.5,Italian,Portuguese,Mirandese
Russia,mezoky,RTZN,RTZN,7,Lurker,Viper,Cypher,Killjoy,13,181,207,58,0.87,1.15,196,13.9,15.9,4.4,Italian,Russian,NaN
Italy,Byron,HGE Esports,HE,4,Smoker,Omen,Viper,NaN,17,249,225,151,1.1,1.77,194,14.6,13.2,8.8,Italian,NaN,NaN
Italy,Morphiius,Axolotl,AXL,8,Lurker,Yoru,Omen,Jett,12,171,201,76,0.85,1.22,192,14.2,16.7,6.3,Italian,NaN,NaN
Italy,Nade,Outplayed,OP,3,Entry,Jett,Raze,NaN,7,100,115,26,0.86,1.09,192,14.2,16.4,3.7,Italian,NaN,NaN
Slovenia,al1en,VX300 Gaming,VX3,5,Smoker,Omen,Viper,Brimstone,13,172,180,97,0.95,1.49,190,13.2,13.8,7.4,Italian,Slovenian,NaN
Italy,Limp,Axolotl,AXL,8,Lurker,Omen,Raze,Killjoy,9,127,143,44,0.88,1.19,189,14.1,15.8,4.8,Italian,NaN,NaN
Hungary,shinnok,Outplayed,OP,3,Anchor,Cypher,Killjoy,Viper,11,154,150,36,1.02,1.26,188,14,13.6,3.2,Italian,Hungarian,NaN
Italy,RickyVaila,Axolotl,AXL,8,Smoker,Viper,Fade,Gekko,12,177,183,67,0.96,1.33,188,14.7,15.2,5.5,Italian,NaN,NaN
Italy,N A I S,NOVO Esports,NOVO,2,Recon,Sova,Cypher,Gekko,22,277,274,113,1.01,1.42,186,12.5,12.4,5.1,Italian,NaN,NaN
Norway,Snaptor,Axolotl,AXL,8,Entry,Reyna,NaN,NaN,2,21,31,4,0.67,0.8,186,10.5,15.5,2,Italian,Norwegian,NaN
Italy,syyse,RTZN,RTZN,7,Flash,Gekko,Sova,Breach,11,154,158,80,0.97,1.48,184,14,14.3,7.2,Italian,NaN,NaN
Russia,Ivan4ezz,VX300 Gaming,VX3,5,Flash,Gekko,Skye,Sova,13,159,173,74,0.91,1.34,183,12.2,13.3,5.6,Italian,Russian,NaN
Poland,xad,Axolotl,AXL,8,Entry,Raze,NaN,NaN,3,45,56,14,0.8,1.05,178,15,18.6,4.6,Italian,Polish,NaN
Poland,Mickebwoy,Axolotl,AXL,8,Recon,Fade,NaN,NaN,2,30,19,15,1.57,2.36,178,15,9.5,7.5,Italian,Polish,NaN
Italy,caydeN,DSYRE,DSY,1,Smoker,Omen,Brimstone,Sage,19,231,237,180,0.97,1.73,177,12.1,12.4,9.4,Italian,NaN,NaN
Italy,pityth,Outplayed,OP,3,Anchor,Killjoy,Cypher,NaN,7,102,101,21,1,1.21,177,14.5,14.4,3,Italian,NaN,NaN
Italy,Morphiw0w,Outplayed,OP,3,Anchor,Viper,Skye,Deadlock,20,243,300,170,0.81,1.37,177,12.1,15,8.5,Italian,NaN,NaN
Italy,sihw,HGE Esports,HE,4,Anchor,Killjoy,Viper,Cypher,12,155,168,38,0.92,1.14,171,12.9,14,3.1,Italian,NaN,NaN
Italy,sword,Outplayed,OP,3,Recon,Sova,Viper,Skye,20,236,294,143,0.8,1.28,166,11.8,14.7,7.1,Italian,NaN,NaN
Netherlands,Apyr,VX300 Gaming,VX3,5,Flex,Yoru,Raze,Jett,3,36,54,15,0.66,0.94,166,12,18,5,Italian,Dutch,NaN
Slovakia,Ayyzicle,LONETEAM,LONE,6,Flash,Gekko,Breach,Killjoy,14,169,194,78,0.87,1.27,163,12,13.8,5.5,Italian,Slovak,NaN
Italy,ASTER,RTZN,RTZN,7,Recon,KAY/O,Breach,Fade,13,159,203,95,0.78,1.25,162,12.2,15.6,7.3,Italian,NaN,NaN
Italy,esc,Axolotl,AXL,8,Smoker,Viper,NaN,NaN,2,19,31,4,0.61,0.74,159,9.5,15.5,2,Italian,NaN,NaN
Italy,dok,HGE Esports,HE,4,Flash,KAY/O,Gekko,Skye,17,194,240,169,0.8,1.51,157,11.4,14.1,9.9,Italian,NaN,NaN
Israel,Reason,RTZN,RTZN,7,Recon,Sova,NaN,NaN,2,19,29,16,0.65,1.2,150,9.5,14.5,8,Italian,Hebrew,NaN
Italy,xazyy,Axolotl,AXL,8,Flash,Breach,Omen,Sova,10,102,167,69,0.61,1.02,147,10.2,16.7,6.9,Italian,NaN,NaN
Norway,Cintyx,Axolotl,AXL,8,Anchor,Killjoy,NaN,NaN,2,18,27,4,0.66,0.81,144,9,13.5,2,Italian,Norwegian,NaN
Italy,FrancyBald,LONETEAM,LONE,6,Smoker,Omen,Viper,NaN,14,140,229,87,0.61,0.99,142,10,16.3,6.2,Italian,NaN,NaN
Italy,zShoxy,RTZN,RTZN,7,Entry,Jett,NaN,NaN,1,9,18,2,0.5,0.61,131,9,18,2,Italian,NaN,NaN
Italy,Infamous,RTZN,RTZN,7,Smoker,Omen,NaN,NaN,1,6,17,5,0.35,0.64,127,6,17,5,Italian,NaN,NaN
