country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Moldova,Sayonara,KPI Gaming,KPI,2,Entry,Raze,Jett,Sova,10,201,150,55,1.34,1.7,262,20.1,15,5.5,Moldovan,NaN,NaN
Serbia,elllement,CGN Esports,CGN,1,Entry,Jett,Raze,Yoru,10,183,134,30,1.36,1.58,243,18.3,13.4,3,Serbian,NaN,NaN
United Kingdom,Ticey,SweetNSour,SNS,6,Entry,Jett,Raze,NaN,10,197,170,36,1.15,1.37,243,19.7,17,3.6,English,NaN,NaN
Denmark,Pa1ze,Diamant Esports,DIA,7,Entry,Raze,Jett,NaN,5,88,84,19,1.04,1.27,233,17.6,16.8,3.8,Danish,English,NaN
Russia,d3ffo,Valiant,VLNT,3,Entry,Raze,Jett,Neon,12,201,190,38,1.05,1.25,219,16.7,15.8,3.1,Russian,NaN,NaN
United Kingdom,aNguiSt,CGN Esports,CGN,1,Anchor,Killjoy,Cypher,Deadlock,10,173,112,33,1.54,1.83,219,17.3,11.2,3.3,English,NaN,NaN
Sweden,Creamydreamy,SweetNSour,SNS,6,Recon,KAY/O,Breach,Fade,10,182,163,130,1.11,1.91,218,18.2,16.3,13,Swedish,NaN,NaN
Germany,Vince,CGN Esports,CGN,1,Smoker,Omen,Astra,Brimstone,10,170,131,69,1.29,1.82,218,17,13.1,6.9,German,NaN,NaN
Poland,westside,Diamant Esports,DIA,7,Anchor,Killjoy,Viper,Sage,5,90,71,22,1.26,1.57,217,18,14.2,4.4,Polish,NaN,NaN
Turkey,ip0TT,Galakticos,GAL,4,Entry,Raze,Jett,NaN,8,123,125,24,0.98,1.17,216,15.3,15.6,3,Turkish,NaN,NaN
Russia,B1SK,KPI Gaming,KPI,2,Entry,Jett,Chamber,Sova,10,167,136,24,1.22,1.4,213,16.7,13.6,2.4,Russian,NaN,NaN
Portugal,fainz,PPP,PPP,7,Entry,Neon,Jett,NaN,5,78,89,24,0.87,1.14,210,15.6,17.8,4.8,Portuguese,Mirandese,NaN
Ireland,Tempo,SweetNSour,SNS,6,Anchor,Killjoy,Cypher,Viper,10,172,158,35,1.08,1.31,209,17.2,15.8,3.5,English,NaN,NaN
Belarus,Winteryrook,R8 Esports,R8,7,Smoker,Astra,Deadlock,Raze,5,81,84,26,0.96,1.27,209,16.2,16.8,5.2,Russian,Belarusian,NaN
Czechia,Jesse,Valiant,VLNT,3,Smoker,Omen,Viper,NaN,12,195,171,80,1.14,1.6,208,16.2,14.2,6.6,Czech,NaN,NaN
Belarus,SimonD4rk,R8 Esports,R8,7,Flex,Raze,Reyna,Yoru,4,64,71,17,0.9,1.14,208,16,17.7,4.2,Russian,Belarusian,NaN
Turkey,DESTRUCT1VEE,Galakticos,GAL,4,Smoker,Omen,Viper,Brimstone,8,124,114,64,1.08,1.64,206,15.5,14.2,8,Turkish,NaN,NaN
Portugal,silentj,PPP,PPP,7,Anchor,Cypher,Killjoy,NaN,5,82,80,23,1.02,1.31,201,16.4,16,4.6,Portuguese,Mirandese,NaN
Italy,bipo,NOVO Esports,NOVO,5,Entry,Neon,Jett,Yoru,11,173,182,42,0.95,1.18,195,15.7,16.5,3.8,Italian,NaN,NaN
Italy,alannn,NOVO Esports,NOVO,5,Anchor,Cypher,Deadlock,Viper,11,168,177,47,0.94,1.21,193,15.2,16,4.2,Italian,NaN,NaN
Russia,insider,KPI Gaming,KPI,2,Anchor,Killjoy,Viper,NaN,10,138,136,37,1.01,1.28,192,13.8,13.6,3.7,Russian,NaN,NaN
Portugal,starkk,NOVO Esports,NOVO,5,Smoker,Omen,Brimstone,Viper,11,167,154,75,1.08,1.57,191,15.1,14,6.8,Portuguese,Mirandese,NaN
