country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Finland,Famsii,UCAM Esports Club,UCAM,2,Entry,Raze,Neon,Jett,21,377,302,109,1.24,1.6,266,17.9,14.3,5.1,Spanish,Finnish,Swedish
Moldova,Sayonara,KPI Gaming,KPI,3,Flash,Skye,KAY/O,Breach,22,405,266,171,1.52,2.16,261,18.4,12,7.7,Spanish,Moldovan,NaN
Poland,krejzzs,FIVE Media Clan,FIVE,5,Entry,Jett,Raze,NaN,16,297,237,42,1.25,1.43,253,18.5,14.8,2.6,Spanish,Polish,NaN
Spain,azaziN,Imperium Gaming,IMP,8,Entry,Raze,Jett,NaN,4,72,68,12,1.05,1.23,232,18,17,3,Spanish,NaN,NaN
Spain,Michel,ZETA (Spanish team),ZETA,7,Entry,Raze,Jett,NaN,14,226,238,44,0.94,1.13,232,16.1,17,3.1,Spanish,NaN,NaN
Russia,B1SK,KPI Gaming,KPI,3,Entry,Jett,Raze,Neon,22,362,295,76,1.22,1.48,231,16.4,13.4,3.4,Spanish,Russian,NaN
Poland,maniek,Barça eSports,BAR,1,Entry,Raze,Neon,Yoru,24,408,363,83,1.12,1.35,230,17,15.1,3.4,Spanish,Polish,NaN
Turkey,Mykoz,Imperium Gaming,IMP,8,Smoker,Viper,Omen,Sova,10,157,165,42,0.95,1.2,228,15.7,16.5,4.2,Spanish,Turkish,NaN
Portugal,jannyXD,Ramboot Club,RBT,4,Entry,Jett,Raze,Yoru,21,373,317,84,1.17,1.44,227,17.7,15,4,Spanish,Portuguese,Mirandese
Ukraine,niwt,Imperium Gaming,IMP,8,Entry,Reyna,Jett,Yoru,8,126,121,45,1.04,1.41,217,15.7,15.1,5.6,Spanish,Ukrainian,NaN
Ukraine,stonezy,FALKE ESPORTS,FLK,6,Entry,Jett,Raze,Yoru,17,266,243,54,1.09,1.31,216,15.6,14.2,3.1,Spanish,Ukrainian,NaN
Denmark,KPZET,Barça eSports,BAR,1,Smoker,Viper,Omen,Clove,24,370,326,163,1.13,1.63,213,15.4,13.5,6.7,Spanish,Danish,English
Poland,Katu,Ramboot Club,RBT,4,Flash,Skye,Gekko,Phoenix,21,330,319,144,1.03,1.48,210,15.7,15.1,6.8,Spanish,Polish,NaN
Portugal,OLIZERA,UCAM Esports Club,UCAM,2,Anchor,Cypher,Killjoy,Raze,21,310,269,105,1.15,1.54,209,14.7,12.8,5,Spanish,Portuguese,Mirandese
Spain,neptuNo,ZETA (Spanish team),ZETA,7,Smoker,Omen,Sova,Breach,14,191,201,129,0.95,1.59,206,13.6,14.3,9.2,Spanish,NaN,NaN
Poland,Kamisseq,Ramboot Club,RBT,4,Smoker,Omen,Sova,NaN,21,344,309,136,1.11,1.55,204,16.3,14.7,6.4,Spanish,Polish,NaN
Spain,Saiz,Barça eSports,BAR,1,Anchor,Killjoy,Cypher,Sage,24,366,338,110,1.08,1.4,204,15.2,14,4.5,Spanish,NaN,NaN
Spain,Jolpi,ZETA (Spanish team),ZETA,7,Smoker,Omen,NaN,NaN,4,57,59,24,0.96,1.37,202,14.2,14.7,6,Spanish,NaN,NaN
Russia,insider,KPI Gaming,KPI,3,Anchor,Cypher,Killjoy,Viper,22,313,268,69,1.16,1.42,202,14.2,12.1,3.1,Spanish,Russian,NaN
Spain,Guardy,Barça eSports,BAR,1,Flash,Skye,Gekko,KAY/O,24,358,327,169,1.09,1.61,202,14.9,13.6,7,Spanish,NaN,NaN
Germany,azury,UCAM Esports Club,UCAM,2,Smoker,Omen,Brimstone,Viper,21,291,255,170,1.14,1.8,194,13.8,12.1,8,Spanish,German,NaN
