country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Russia,f4ngeer,trashcan,TR,4,Entry,Jett,Raze,Gekko,34,619,492,135,1.25,1.53,246,18.2,14.4,3.9,Russian,NaN,NaN
Denmark,Pa1ze,Diamant Esports,DIA,2,Entry,Raze,Jett,Neon,39,699,595,125,1.17,1.38,245,17.9,15.2,3.2,Danish,English,NaN
Czechia,WanZeru,B8 Esports,B8,6,Entry,Raze,Neon,Jett,27,485,457,95,1.06,1.26,245,17.9,16.9,3.5,Czech,NaN,NaN
Poland,PROFEK,GoNext Esports,GN,1,Smoker,Omen,Viper,NaN,31,542,369,248,1.46,2.14,239,17.4,11.9,8,Polish,NaN,NaN
Hungary,Chadi,NOM Esports,NOM,7,Entry,Raze,Jett,NaN,23,416,366,66,1.13,1.31,227,18,15.9,2.8,Hungarian,NaN,NaN
Poland,TajReX,trashcan,TR,4,Anchor,Killjoy,Viper,Raze,34,532,513,164,1.03,1.35,226,15.6,15,4.8,Polish,NaN,NaN
Czechia,alexiiik,GoNext Esports,GN,1,Entry,Jett,Raze,Neon,31,516,462,95,1.11,1.32,225,16.6,14.9,3,Czech,NaN,NaN
Turkey,Bard0lf,NOM Esports,NOM,7,Smoker,Omen,Viper,NaN,21,370,353,146,1.04,1.46,224,17.6,16.8,6.9,Turkish,NaN,NaN
Turkey,lovers rock,Chipi Chapa's,CHCH,5,Entry,Jett,Yoru,Reyna,13,210,185,56,1.13,1.43,224,16.1,14.2,4.3,Turkish,NaN,NaN
Germany,shy,ESC Gaming,ESC,10,Entry,Jett,Raze,Yoru,22,381,388,68,0.98,1.15,218,17.3,17.6,3,German,NaN,NaN
Latvia,Serial,Chipi Chapa's,CHCH,5,Anchor,Cypher,Gekko,Deadlock,27,454,409,109,1.11,1.37,217,16.8,15.1,4,Latvian,NaN,NaN
Poland,Freyy,Zero Tenacity,Z10,8,Smoker,Omen,Astra,Brimstone,19,320,283,114,1.13,1.53,216,16.8,14.8,6,Polish,NaN,NaN
Russia,chiwa,Acend,ACE,3,Anchor,Cypher,Killjoy,Viper,36,617,504,155,1.22,1.53,214,17.1,14,4.3,Russian,NaN,NaN
Russia,globeX,Chipi Chapa's,CHCH,5,Flex,Yoru,Raze,Omen,16,256,256,86,1,1.33,214,16,16,5.3,Russian,NaN,NaN
Israel,ALIVE,Acend,ACE,3,Entry,Jett,Raze,NaN,36,591,550,137,1.07,1.32,214,16.4,15.2,3.8,Hebrew,NaN,NaN
Poland,zeek,GoNext Esports,GN,1,Recon,Sova,KAY/O,Skye,31,454,397,266,1.14,1.81,211,14.6,12.8,8.5,Polish,NaN,NaN
Lithuania,Kajuks,B8 Esports,B8,6,Smoker,Omen,Breach,Viper,27,425,412,212,1.03,1.54,207,15.7,15.2,7.8,Lithuanian,NaN,NaN
Poland,Kozok,B8 Esports,B8,6,Lurker,Cypher,Omen,Viper,20,306,284,124,1.07,1.51,204,15.3,14.2,6.2,Polish,NaN,NaN
