country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Poland,kaajak,Apeks,APK,1,Entry,Jett,Gekko,Raze,22,446,285,72,1.56,1.81,276,20.2,12.9,3.2,Polish,NaN,NaN
Netherlands,APHUN,SweetNSour,SNS,2,Lurker,Omen,Cypher,NaN,4,83,59,31,1.4,1.93,256,20.7,14.7,7.7,Dutch,NaN,NaN
United Kingdom,Ticey,SweetNSour,SNS,2,Entry,Raze,Jett,Yoru,29,550,465,124,1.18,1.44,245,18.9,16,4.2,English,NaN,NaN
Latvia,harambe,Requiem,RQM,3,Entry,Raze,Jett,Omen,29,523,434,117,1.2,1.47,242,18,14.9,4,Latvian,NaN,NaN
Turkey,d3mur,Metizport,MZP,6,Flex,Raze,Yoru,NaN,7,129,132,33,0.97,1.22,235,18.4,18.8,4.7,Turkish,NaN,NaN
United Kingdom,Lime,SweetNSour,SNS,2,Anchor,Cypher,Viper,NaN,3,59,48,10,1.22,1.43,234,19.6,16,3.3,English,NaN,NaN
Sweden,Demiurge,Formulation Gaming,FMG,7,Entry,Raze,Neon,Jett,17,297,289,74,1.02,1.28,233,17.4,17,4.3,Swedish,NaN,NaN
Sweden,Ale,OnlyFins,OF,4,Entry,Raze,Jett,Neon,27,443,395,122,1.12,1.43,225,16.4,14.6,4.5,Swedish,NaN,NaN
United Kingdom,ReQz,NXT,NXT,5,Entry,Raze,Sova,Jett,20,324,307,124,1.05,1.45,219,16.2,15.3,6.2,English,NaN,NaN
United Kingdom,Dev0,NXT,NXT,5,Entry,Raze,Jett,KAY/O,20,325,314,112,1.03,1.39,219,16.2,15.7,5.6,English,NaN,NaN
Denmark,ri4d,Formulation Gaming,FMG,7,Flash,KAY/O,Breach,Killjoy,17,285,267,150,1.06,1.62,216,16.7,15.7,8.8,Danish,English,NaN
Finland,Kalkkuna,Apinaorkesteri,APE,8,Entry,Jett,Raze,Yoru,15,236,250,50,0.94,1.14,215,15.7,16.6,3.3,Finnish,Swedish,NaN
Russia,Vitie,Apinaorkesteri,APE,8,Smoker,Omen,Viper,Brimstone,19,300,299,164,1,1.55,214,15.7,15.7,8.6,Russian,NaN,NaN
United Kingdom,soulcas,Apeks,APK,1,Recon,KAY/O,Sova,Viper,22,318,268,178,1.18,1.85,214,14.4,12.1,8,English,NaN,NaN
Hungary,shinnok,Metizport,MZP,6,Anchor,Cypher,Killjoy,NaN,7,129,116,29,1.11,1.36,213,18.4,16.5,4.1,Hungarian,NaN,NaN
Scotland,Marky,Metizport,MZP,6,Entry,Raze,Sage,Jett,10,155,169,40,0.91,1.15,207,15.5,16.9,4,English,Scots,NaN
Poland,MOLSI,Apeks,APK,1,Anchor,Sage,Breach,Sova,22,305,279,169,1.09,1.69,203,13.8,12.6,7.6,Polish,NaN,NaN
Denmark,AvovA,Apeks,APK,1,Smoker,Omen,Viper,Brimstone,22,319,251,156,1.27,1.89,203,14.5,11.4,7,Danish,English,NaN
Denmark,szoren,Requiem,RQM,3,Recon,KAY/O,Skye,Fade,29,456,425,198,1.07,1.53,203,15.7,14.6,6.8,Danish,English,NaN
United Kingdom,otom,Apinaorkesteri,APE,8,Flex,Raze,Yoru,NaN,4,65,71,21,0.91,1.21,202,16.2,17.7,5.2,English,NaN,NaN
United Kingdom,luca,Metizport,MZP,6,Anchor,Killjoy,KAY/O,Viper,10,158,154,49,1.02,1.34,200,15.8,15.4,4.9,English,NaN,NaN
United Kingdom,T0BA,Requiem,RQM,3,Anchor,Cypher,Killjoy,Brimstone,27,399,386,148,1.03,1.41,198,14.7,14.2,5.4,English,NaN,NaN
United Kingdom,Chanformer,NXT,NXT,5,Lurker,Cypher,Viper,Astra,18,261,236,107,1.1,1.55,198,14.5,13.1,5.9,English,NaN,NaN
Finland,Jesmu,OnlyFins,OF,4,Recon,Gekko,Sova,Fade,27,381,398,158,0.95,1.35,194,14.1,14.7,5.8,Finnish,Swedish,NaN
United Kingdom,Waken,Metizport,MZP,6,Smoker,Omen,Jett,Viper,11,177,189,83,0.93,1.37,194,16,17.1,7.5,English,NaN,NaN
Wales,ianto,Requiem,RQM,3,Lurker,Gekko,Viper,Yoru,27,381,376,186,1.01,1.5,192,14.1,13.9,6.8,Welsh,English,NaN
Norway,SemberN,Formulation Gaming,FMG,7,Anchor,Cypher,Viper,Killjoy,17,265,270,66,0.98,1.22,192,15.5,15.8,3.8,Norwegian,NaN,NaN
United Kingdom,Deqadz,Requiem,RQM,3,Smoker,Omen,Viper,Harbor,28,393,409,221,0.96,1.5,192,14,14.6,7.8,English,NaN,NaN
Lithuania,hype,Apeks,APK,1,Anchor,Killjoy,Viper,Cypher,22,302,270,77,1.11,1.4,190,13.7,12.2,3.5,Lithuanian,NaN,NaN
Ireland,Tempo,SweetNSour,SNS,2,Anchor,Killjoy,Cypher,Viper,25,377,380,72,0.99,1.18,189,15,15.2,2.8,English,NaN,NaN
Sweden,Creamydreamy,SweetNSour,SNS,2,Recon,KAY/O,Fade,Skye,29,429,428,318,1,1.74,188,14.7,14.7,10.9,Swedish,NaN,NaN
Finland,Feeqn,OnlyFins,OF,4,Anchor,Killjoy,Cypher,Brimstone,27,368,375,116,0.98,1.29,188,13.6,13.8,4.2,Finnish,Swedish,NaN
Sweden,Puggy,Formulation Gaming,FMG,7,Recon,Sova,Fade,Gekko,17,230,250,141,0.92,1.48,184,13.5,14.7,8.2,Swedish,NaN,NaN
Belgium,MaximN,NXT,NXT,5,Recon,Fade,Sova,Deadlock,19,251,272,134,0.92,1.41,183,13.2,14.3,7,Dutch,French,German
Ireland,Drog,Apinaorkesteri,APE,8,Anchor,Cypher,Sova,Killjoy,19,277,303,62,0.91,1.11,183,14.5,15.9,3.2,English,NaN,NaN
Finland,Snowi,OnlyFins,OF,4,Flash,Breach,KAY/O,Skye,27,354,380,278,0.93,1.66,183,13.1,14,10.2,Finnish,Swedish,NaN
Finland,nixoon,OnlyFins,OF,4,Smoker,Omen,Viper,Clove,27,347,443,205,0.78,1.24,180,12.8,16.4,7.5,Finnish,Swedish,NaN
United Kingdom,Bully,NXT,NXT,5,Smoker,Omen,Brimstone,Killjoy,20,262,300,182,0.87,1.48,180,13.1,15,9.1,English,NaN,NaN
Russia,chukl9,Apinaorkesteri,APE,8,Recon,Sova,Gekko,Fade,13,171,203,83,0.84,1.25,180,13.1,15.6,6.3,Russian,NaN,NaN
Italy,HearthBeat,SweetNSour,SNS,2,Smoker,Omen,Viper,Brimstone,26,360,391,235,0.92,1.52,179,13.8,15,9,Italian,NaN,NaN
Ireland,Famzzam,SweetNSour,SNS,2,Flash,Gekko,Viper,Sova,29,393,434,225,0.9,1.42,177,13.5,14.9,7.7,English,NaN,NaN
Lithuania,OzzyTK,Metizport,MZP,6,Smoker,Viper,Skye,Iso,17,235,290,85,0.81,1.1,176,13.8,17,5,Lithuanian,NaN,NaN
Germany,stolen,Apinaorkesteri,APE,8,Anchor,Killjoy,Cypher,Viper,6,80,99,25,0.8,1.06,174,13.3,16.5,4.1,German,NaN,NaN
Romania,melo,Metizport,MZP,6,Recon,Fade,Sova,Gekko,17,231,265,121,0.87,1.32,173,13.5,15.5,7.1,Romanian,NaN,NaN
United Kingdom,Jaf,Formulation Gaming,FMG,7,Smoker,Omen,Brimstone,Viper,17,220,268,111,0.82,1.23,164,12.9,15.7,6.5,English,NaN,NaN
United Kingdom,stike,Metizport,MZP,6,Smoker,Omen,Viper,Astra,4,53,73,15,0.72,0.93,159,13.2,18.2,3.7,English,NaN,NaN
Finland,Brädi,Apinaorkesteri,APE,8,Flash,Breach,Deadlock,KAY/O,19,222,308,157,0.72,1.23,157,11.6,16.2,8.2,Finnish,Swedish,NaN
France,Wissite,NXT,NXT,5,Anchor,Cypher,NaN,NaN,2,23,30,12,0.76,1.16,153,11.5,15,6,French,NaN,NaN
