country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
United Kingdom,Leare,Impulse Gaming Warriors,IGW,4,Entry,Jett,Gekko,Raze,18,359,250,52,1.43,1.64,274,19.9,13.8,2.8,English,NaN,NaN
Portugal,brk,SAW,SAW,1,Entry,Jett,Raze,Yoru,22,393,275,95,1.42,1.77,258,17.8,12.5,4.3,Portuguese,Mirandese,NaN
Portugal,fainz,PPP,PPP,2,Entry,Raze,Jett,Neon,24,401,342,85,1.17,1.42,246,16.7,14.2,3.5,Portuguese,Mirandese,NaN
Russia,stepa,FUZOS,FUZO,7,Entry,Raze,Jett,Neon,9,167,170,36,0.98,1.19,233,18.5,18.8,4,Russian,NaN,NaN
Portugal,GrTw,SAW,SAW,1,Anchor,Killjoy,Cypher,Viper,22,367,257,113,1.42,1.86,232,16.6,11.6,5.1,Portuguese,Mirandese,NaN
Portugal,KILLDREAMST,PPP,PPP,2,Smoker,Omen,Viper,Iso,24,368,310,173,1.18,1.74,227,15.3,12.9,7.2,Portuguese,Mirandese,NaN
Brazil,Caim,GTZ Esports,GTZ,5,Entry,Raze,Jett,NaN,14,229,221,64,1.03,1.32,225,16.3,15.7,4.5,Portuguese,NaN,NaN
Portugal,noheart,Hurricane Of Feathers,HOF,6,Entry,Jett,Raze,NaN,14,223,217,47,1.02,1.24,225,15.9,15.5,3.3,Portuguese,Mirandese,NaN
Portugal,xini,FUZOS,FUZO,7,Flex,Killjoy,Iso,Reyna,10,187,174,31,1.07,1.25,222,18.7,17.4,3.1,Portuguese,Mirandese,NaN
Portugal,Fragger,SAW,SAW,1,Recon,KAY/O,Sage,Skye,22,336,291,208,1.15,1.86,220,15.2,13.2,9.4,Portuguese,Mirandese,NaN
Portugal,Waer,FUZOS,FUZO,7,Smoker,Viper,Omen,Brimstone,6,97,90,31,1.07,1.42,220,16.1,15,5.1,Portuguese,Mirandese,NaN
Portugal,nasK,FTW LEÇA FC,FXL,8,Entry,Neon,Sova,NaN,2,34,35,14,0.97,1.37,220,17,17.5,7,Portuguese,Mirandese,NaN
Portugal,HolyM0Ly,Ex0Tik Gaming,EX0,3,Anchor,Killjoy,NaN,NaN,2,33,33,9,1,1.27,219,16.5,16.5,4.5,Portuguese,Mirandese,NaN
France,KyLoU,GTZ Esports,GTZ,5,Recon,Sova,Brimstone,NaN,5,80,82,34,0.97,1.39,215,16,16.4,6.8,French,NaN,NaN
Portugal,zePiCzz,Hurricane Of Feathers,HOF,6,Recon,Sova,Gekko,NaN,14,212,193,74,1.09,1.48,211,15.1,13.7,5.2,Portuguese,Mirandese,NaN
Portugal,Addicted,SAW,SAW,1,Recon,Sova,Gekko,Deadlock,22,321,242,139,1.32,1.9,208,14.5,11,6.3,Portuguese,Mirandese,NaN
Portugal,guedeszy,FTW LEÇA FC,FXL,8,Lurker,KAY/O,Killjoy,Astra,6,96,104,39,0.92,1.29,204,16,17.3,6.5,Portuguese,Mirandese,NaN
Portugal,slender,FTW LEÇA FC,FXL,8,Lurker,Viper,Killjoy,NaN,7,120,111,37,1.08,1.41,204,17.1,15.8,5.2,Portuguese,Mirandese,NaN
Portugal,rlzy,FTW LEÇA FC,FXL,8,Entry,Viper,Jett,Raze,8,119,129,28,0.92,1.13,203,14.8,16.1,3.5,Portuguese,Mirandese,NaN
Poland,999kvmil,Ex0Tik Gaming,EX0,3,Flex,Fade,Raze,Yoru,21,281,282,79,0.99,1.27,203,13.3,13.4,3.7,Polish,NaN,NaN
Portugal,silentj,PPP,PPP,2,Anchor,Cypher,Killjoy,Viper,24,338,298,105,1.13,1.48,201,14,12.4,4.3,Portuguese,Mirandese,NaN
Spain,mochi,Ex0Tik Gaming,EX0,3,Lurker,Omen,Raze,Cypher,19,251,261,68,0.96,1.22,198,13.2,13.7,3.5,Spanish,NaN,NaN
France,Hiiro,GTZ Esports,GTZ,5,Anchor,Cypher,NaN,NaN,14,220,213,69,1.03,1.35,198,15.7,15.2,4.9,French,NaN,NaN
Portugal,tripsy,Impulse Gaming Warriors,IGW,4,Anchor,Killjoy,Viper,Cypher,18,255,261,73,0.97,1.25,198,14.1,14.5,4,Portuguese,Mirandese,NaN
France,NRK,Hurricane Of Feathers,HOF,6,Lurker,Viper,Killjoy,Cypher,11,155,168,74,0.92,1.36,197,14,15.2,6.7,French,NaN,NaN
Portugal,CORONEL,Impulse Gaming Warriors,IGW,4,Smoker,Omen,Viper,Brimstone,18,254,223,138,1.13,1.75,195,14.1,12.3,7.6,Portuguese,Mirandese,NaN
South Korea,young,Ex0Tik Gaming,EX0,3,Entry,Raze,NaN,NaN,6,76,94,28,0.8,1.1,192,12.6,15.6,4.6,Korean,NaN,NaN
Portugal,Akira,PPP,PPP,2,Recon,Sova,Omen,Fade,24,294,292,191,1,1.66,192,12.2,12.1,7.9,Portuguese,Mirandese,NaN
Portugal,Slaxx,FUZOS,FUZO,7,Flash,Gekko,Breach,NaN,6,97,101,41,0.96,1.36,189,16.1,16.8,6.8,Portuguese,Mirandese,NaN
Poland,NeFi,Ex0Tik Gaming,EX0,3,Flash,Gekko,Skye,Viper,15,181,188,74,0.96,1.35,189,12,12.5,4.9,Polish,NaN,NaN
Portugal,DroperZ,FUZOS,FUZO,7,Recon,Skye,Killjoy,NaN,2,35,38,10,0.92,1.18,188,17.5,19,5,Portuguese,Mirandese,NaN
Portugal,furyan,FTW LEÇA FC,FXL,8,Entry,Jett,Iso,Reyna,13,177,231,67,0.76,1.05,186,13.6,17.7,5.1,Portuguese,Mirandese,NaN
United Kingdom,Cal,GTZ Esports,GTZ,5,Recon,Fade,Yoru,Brimstone,9,124,151,74,0.82,1.31,186,13.7,16.7,8.2,English,NaN,NaN
Portugal,pdr,Impulse Gaming Warriors,IGW,4,Flash,KAY/O,Viper,Breach,18,239,232,165,1.03,1.74,186,13.2,12.8,9.1,Portuguese,Mirandese,NaN
Slovakia,Dext,Ex0Tik Gaming,EX0,3,Lurker,Killjoy,Omen,Viper,21,268,307,77,0.87,1.12,185,12.7,14.6,3.6,Slovak,NaN,NaN
Portugal,H4te,GTZ Esports,GTZ,5,Smoker,Omen,Viper,NaN,14,205,204,91,1,1.45,184,14.6,14.5,6.5,Portuguese,Mirandese,NaN
Portugal,skypzz,Hurricane Of Feathers,HOF,6,Lurker,Killjoy,Omen,Brimstone,14,184,206,87,0.89,1.31,182,13.1,14.7,6.2,Portuguese,Mirandese,NaN
Portugal,k4nzo,FTW LEÇA FC,FXL,8,Lurker,Cypher,Killjoy,Omen,11,143,174,62,0.82,1.17,178,13,15.8,5.6,Portuguese,Mirandese,NaN
France,Kheops,Hurricane Of Feathers,HOF,6,Flash,Breach,Harbor,KAY/O,11,133,172,106,0.77,1.38,177,12,15.6,9.6,French,NaN,NaN
Slovenia,Patix,Impulse Gaming Warriors,IGW,4,Recon,Sova,Gekko,Sage,18,216,248,95,0.87,1.25,175,12,13.7,5.2,Slovenian,NaN,NaN
Portugal,Cunha20,SAW,SAW,1,Smoker,Omen,Viper,Brimstone,22,286,253,201,1.13,1.92,173,13,11.5,9.1,Portuguese,Mirandese,NaN
Portugal,KenzmPs,FTW LEÇA FC,FXL,8,Recon,Sova,Gekko,Fade,14,181,225,86,0.8,1.18,171,12.9,16,6.1,Portuguese,Mirandese,NaN
Russia,Tian,FUZOS,FUZO,7,Entry,Raze,Jett,NaN,3,34,46,7,0.73,0.89,167,11.3,15.3,2.3,Russian,NaN,NaN
Portugal,Kayn,GTZ Esports,GTZ,5,Flash,Breach,Sova,NaN,14,176,219,120,0.8,1.35,164,12.5,15.6,8.5,Portuguese,Mirandese,NaN
Portugal,Phatt,PPP,PPP,2,Flash,Breach,Sage,Gekko,24,279,273,194,1.02,1.73,161,11.6,11.3,8,Portuguese,Mirandese,NaN
Portugal,raxtazzz,FTW LEÇA FC,FXL,8,Smoker,Jett,Omen,Brimstone,9,107,152,44,0.7,0.99,158,11.8,16.8,4.8,Portuguese,Mirandese,NaN
Spain,Aqua,Ex0Tik Gaming,EX0,3,Flash,Breach,Sova,Omen,21,204,284,153,0.71,1.25,149,9.7,13.5,7.2,Spanish,NaN,NaN
Portugal,Lekyy,FUZOS,FUZO,7,Lurker,Viper,Cypher,Omen,13,155,223,64,0.69,0.98,149,11.9,17.1,4.9,Portuguese,Mirandese,NaN
Portugal,AndreSG,FUZOS,FUZO,7,Recon,Omen,Sova,Fade,13,137,223,112,0.61,1.11,142,10.5,17.1,8.6,Portuguese,Mirandese,NaN
Portugal,kayban,Hurricane Of Feathers,HOF,6,Recon,KAY/O,NaN,NaN,3,28,45,22,0.62,1.11,140,9.3,15,7.3,Portuguese,Mirandese,NaN
Portugal,symoN,Hurricane Of Feathers,HOF,6,Smoker,Omen,NaN,NaN,1,9,17,16,0.52,1.47,139,9,17,16,Portuguese,Mirandese,NaN
Russia,Edelweiss,FUZOS,FUZO,7,Flash,Gekko,KAY/O,Fade,3,25,48,18,0.52,0.89,131,8.3,16,6,Russian,NaN,NaN
France,dAkE,Hurricane Of Feathers,HOF,6,Smoker,Omen,NaN,NaN,2,13,29,10,0.44,0.79,113,6.5,14.5,5,French,NaN,NaN
