country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Indonesia,Splash,NEXGA,NXGA,5,Entry,Jett,Raze,Iso,19,368,300,79,1.22,1.49,265,19.3,15.7,4.1,English,Malay,Indonesian
Singapore,SHINSEI,Kizuna Esports,KZ,5,Entry,Jett,Cypher,Iso,18,375,320,49,1.17,1.32,254,20.8,17.7,2.7,English,Malay,Mandarin
Indonesia,Nakya,Elevate (American team),ELV,3,Entry,Raze,Jett,Reyna,26,477,434,88,1.09,1.3,249,18.3,16.6,3.3,English,Malay,Indonesian
Singapore,vera,Disguised,DSG,1,Entry,Jett,Raze,Neon,23,421,349,106,1.2,1.51,246,18.3,15.1,4.6,English,Malay,Mandarin
Malaysia,Xan,LaZe,LZE,4,Entry,Raze,Jett,Neon,25,415,401,120,1.03,1.33,231,16.6,16,4.8,English,Malay,NaN
Singapore,lenne,LaZe,LZE,4,Recon,Sova,Fade,Gekko,25,401,352,188,1.13,1.67,229,16,14,7.5,English,Malay,Mandarin
Singapore,grumble,Disguised,DSG,1,Lurker,Viper,Cypher,Killjoy,24,431,323,146,1.33,1.78,225,17.9,13.4,6,English,Malay,Mandarin
Malaysia,Fixy,Reve Drift Arena,RDA,2,Entry,Raze,Jett,Chamber,32,571,559,135,1.02,1.26,221,17.8,17.4,4.2,English,Malay,NaN
Singapore,juicy,Disguised,DSG,1,Flex,Iso,Yoru,Raze,24,415,349,127,1.18,1.55,218,17.2,14.5,5.2,English,Malay,Mandarin
Singapore,haeart,PDF,PDF,8,Entry,Raze,Neon,Jett,14,218,231,56,0.94,1.18,217,15.5,16.5,4,English,Malay,Mandarin
Malaysia,aduka,NEXGA,NXGA,5,Recon,Sova,Iso,Cypher,19,303,273,113,1.1,1.52,216,15.9,14.3,5.9,English,Malay,NaN
Singapore,wayne,Disguised,DSG,1,Lurker,Omen,Killjoy,Reyna,24,400,325,189,1.23,1.81,216,16.6,13.5,7.8,English,Malay,Mandarin
Malaysia,theDoctorr,Reve Drift Arena,RDA,2,Smoker,Omen,Killjoy,Clove,32,561,525,293,1.06,1.62,215,17.5,16.4,9.1,English,Malay,NaN
Singapore,Impecunity,NEXGA,NXGA,5,Anchor,Killjoy,Cypher,Viper,19,298,269,61,1.1,1.33,208,15.6,14.1,3.2,English,Malay,Mandarin
Singapore,Kairo,Kizuna Esports,KZ,5,Flash,Breach,KAY/O,NaN,3,46,53,37,0.86,1.56,206,15.3,17.6,12.3,English,Malay,Mandarin
Singapore,Reverie,Kizuna Esports,KZ,5,Recon,Sova,Skye,Gekko,18,297,272,105,1.09,1.47,205,16.5,15.1,5.8,English,Malay,Mandarin
Malaysia,Riza,Elevate (American team),ELV,3,Anchor,Cypher,Sova,Viper,26,410,372,128,1.1,1.44,205,15.7,14.3,4.9,English,Malay,NaN
Singapore,inf,Ninjas in Galaxy,NG,7,Anchor,Killjoy,Iso,Cypher,14,221,239,38,0.92,1.08,203,15.7,17,2.7,English,Malay,Mandarin
Singapore,persona11,Ninjas in Galaxy,NG,7,Entry,Raze,Jett,NaN,14,214,236,47,0.9,1.1,203,15.2,16.8,3.3,English,Malay,Mandarin
Singapore,RedKoh,Elevate (American team),ELV,3,Recon,KAY/O,Breach,Fade,26,384,374,241,1.02,1.67,197,14.7,14.3,9.2,English,Malay,Mandarin
Singapore,Divine,LaZe,LZE,4,Smoker,Omen,Viper,Brimstone,25,374,335,183,1.11,1.66,196,14.9,13.4,7.3,English,Malay,Mandarin
Philippines,markL,Reve Drift Arena,RDA,2,Lurker,Viper,Cypher,Jett,32,523,523,160,1,1.3,196,16.3,16.3,5,English,Malay,Filipino
Singapore,pudj,Elevate (American team),ELV,3,Anchor,Killjoy,Viper,Fade,26,386,365,147,1.05,1.46,194,14.8,14,5.6,English,Malay,Mandarin
Singapore,tempz,LaZe,LZE,4,Flash,Breach,Gekko,KAY/O,25,361,342,229,1.05,1.72,192,14.4,13.6,9.1,English,Malay,Mandarin
