country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Australia,ACE,Bandits ESC,BNDT,12,Entry,Jett,Raze,Deadlock,5,122,76,15,1.6,1.8,334,24.4,15.2,3,English,NaN,NaN
Australia,NOVAE,Tiny Turtle Squad,TTS,9,Entry,Jett,Raze,NaN,11,218,157,43,1.38,1.66,272,19.8,14.2,3.9,English,NaN,NaN
United States,BAO,Corn Dawgs,CD,15,Flash,KAY/O,Gekko,NaN,2,40,32,15,1.25,1.71,261,20,16,7.5,English,NaN,NaN
Australia,kadiri,EDGE,EDGE,7,Entry,Cypher,Reyna,Phoenix,19,360,277,82,1.29,1.59,258,18.9,14.5,4.3,English,NaN,NaN
United Kingdom,LEW,JiJieHao BONK,JJH,4,Entry,Jett,Raze,NaN,19,343,255,78,1.34,1.65,247,18,13.4,4.1,English,NaN,NaN
Australia,zenox,Rub n' Pug,RNP,7,Flex,Raze,Killjoy,Yoru,14,247,230,65,1.07,1.35,247,17.6,16.4,4.6,English,NaN,NaN
New Zealand,FETA,ARENA Internet Cafe,AIC,2,Entry,Jett,Raze,Neon,18,329,260,57,1.26,1.48,247,18.2,14.4,3.1,English,Maori,NaN
Cyprus,ANDY,JFT Esports,JFT,1,Flex,Iso,Jett,Deadlock,16,280,212,97,1.32,1.77,243,17.5,13.2,6,English,Greek,Turkish
Australia,songry,iPGN,iPGN,5,Anchor,Killjoy,Cypher,Brimstone,20,336,285,82,1.17,1.46,236,16.8,14.2,4.1,English,NaN,NaN
Australia,Sinaway,ARENA Internet Cafe,AIC,2,Anchor,Killjoy,Cypher,Viper,18,311,249,68,1.24,1.52,233,17.2,13.8,3.7,English,NaN,NaN
Turkey,MURZA,JFT Esports,JFT,1,Entry,Jett,Raze,Reyna,22,364,304,80,1.19,1.46,233,16.5,13.8,3.6,English,Turkish,NaN
Australia,Prophet,EDGE,EDGE,7,Entry,Jett,Raze,Reyna,13,217,201,45,1.07,1.3,233,16.6,15.4,3.4,English,NaN,NaN
International,DOWNTAIL,Xu Gang,XG,12,Entry,Raze,Jett,NaN,7,113,110,21,1.02,1.21,231,16.1,15.7,3,English,NaN,NaN
Australia,Shinon,Bandits ESC,BNDT,12,Smoker,Viper,Omen,NaN,7,115,96,37,1.19,1.58,230,16.4,13.7,5.2,English,NaN,NaN
Australia,Kiseki,Peace & Love,PL,9,Entry,Neon,Reyna,NaN,12,232,199,47,1.16,1.4,229,19.3,16.5,3.9,English,NaN,NaN
Australia,Zauqk,BOBO,BOBO,5,Recon,Sova,Breach,Fade,15,242,206,108,1.17,1.69,226,16.1,13.7,7.2,English,NaN,NaN
Indonesia,dragoN,JiJieHao BONK,JJH,4,Smoker,Omen,Brimstone,Killjoy,19,328,261,121,1.25,1.72,225,17.2,13.7,6.3,English,Indonesian,NaN
Australia,phequa,Rub n' Pug,RNP,7,Entry,Jett,Neon,Iso,14,242,226,45,1.07,1.26,224,17.2,16.1,3.2,English,NaN,NaN
International,AcZy,Wolf Pack,WP,12,Smoker,Clove,Reyna,Viper,4,63,74,19,0.85,1.1,221,15.7,18.5,4.7,English,NaN,NaN
Australia,Exirst,BOBO,BOBO,5,Entry,Jett,Raze,Iso,15,234,225,61,1.04,1.31,221,15.6,15,4,English,NaN,NaN
Australia,vizsla,FOCUSGG,FOC,3,Anchor,Killjoy,Viper,Cypher,19,301,286,76,1.05,1.31,219,15.8,15,4,English,NaN,NaN
Vietnam,IKANA,JFT Esports,JFT,1,Recon,Sova,Fade,Skye,24,367,296,170,1.23,1.81,214,15.2,12.3,7,English,Vietnamese,NaN
Australia,Crunchy,BOBO,BOBO,5,Recon,KAY/O,Omen,Skye,15,237,209,141,1.13,1.8,213,15.8,13.9,9.4,English,NaN,NaN
Australia,lg1c,iPGN,iPGN,5,Entry,Raze,Jett,NaN,20,301,288,60,1.04,1.25,212,15,14.4,3,English,NaN,NaN
Australia,doleful,Bandits ESC,BNDT,12,Recon,Sova,Raze,Gekko,7,102,109,40,0.93,1.3,212,14.5,15.5,5.7,English,NaN,NaN
Croatia,Chax,Koopa Troopas,KTS,9,Entry,Jett,Raze,Reyna,8,130,127,24,1.02,1.21,209,16.2,15.8,3,English,Croatian,NaN
Australia,rDeeW,JiJieHao BONK,JJH,4,Anchor,Cypher,Viper,Killjoy,19,289,276,96,1.04,1.39,208,15.2,14.5,5,English,NaN,NaN
New Zealand,WisdomCats,Tiny Turtle Squad,TTS,9,Smoker,Omen,Viper,NaN,11,160,162,60,0.98,1.35,208,14.5,14.7,5.4,English,Maori,NaN
