country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Mongolia,123,Team Kobolds,KBLD,Hong Kong and Taiwan,3,Entry,Jett,Raze,Neon,29,526,508,102,1.03,1.23,230,18.1,17.5,3.5,Mandarin,Khalkha Mongol,
India,1TaPGoD,Alternate Realities,AR,South Asia,7,Entry,Raze,Gekko,,5,40,82,20,0.48,0.73,142,8.0,16.4,4.0,Hindi,English,
South Korea,972,IAM,IAM,South Korea,5,Smoker,Omen,Brimstone,Viper,21,278,321,148,0.86,1.32,176,13.2,15.2,7.0,Korean,,
Australia,ACE,Bandits ESC,BNDT,Oceania,12,Entry,Jett,Raze,Deadlock,5,122,76,15,1.6,1.8,334,24.4,15.2,3.0,English,,
Thailand,ALLR1GHTT,XOXO-01,XOXO,Thailand,8,Smoker,Viper,KAY/O,Harbor,15,163,241,76,0.67,0.99,156,10.8,16.0,5.0,Thai,,
Thailand,ALerT,XERXIA,XIA,Thailand,3,Anchor,Cypher,Killjoy,Viper,27,418,403,113,1.03,1.31,208,15.4,14.9,4.1,Thai,,
Australia,AMNESTY,Rub n' Pug,RNP,Oceania,7,Recon,Sova,Gekko,Deadlock,14,212,210,96,1.0,1.46,199,15.1,15.0,6.8,English,,
Cyprus,ANDY,JFT Esports,JFT,Oceania,1,Flex,Iso,Jett,Deadlock,16,280,212,97,1.32,1.77,243,17.5,13.2,6.0,English,Greek,Turkish
Japan,Aace,Riddle,RID,Japan,1,Smoker,Viper,Omen,Brimstone,22,374,319,143,1.17,1.62,206,17.0,14.5,6.5,Japanese,,
Japan,Absol,Murash gaming,MRSH,Japan,4,Entry,Raze,Phoenix,Jett,22,395,366,105,1.07,1.36,238,17.9,16.6,4.7,Japanese,,
International,AcZy,Wolf Pack,WP,Oceania,12,Smoker,Clove,Reyna,Viper,4,63,74,19,0.85,1.1,221,15.7,18.5,4.7,English,,
Vietnam,Acerola,LAZY,LAZY,Vietnam,5,Smoker,Viper,Omen,KAY/O,13,186,188,84,0.98,1.43,203,14.3,14.4,6.4,Vietnamese,,
Thailand,Acetics,Sharper Esport,SPE,Thailand,4,Recon,Fade,Skye,Sage,21,267,312,126,0.85,1.25,178,12.7,14.8,6.0,Thai,,
Singapore,Adept,PDF,PDF,Malaysia and Singapore,8,Recon,Sova,Breach,Killjoy,13,138,205,69,0.67,1.0,145,10.6,15.7,5.3,English,Malay,Mandarin
Philippines,Aeonyx,OLD STINKY CAT,MEOW,Philippines,5,Anchor,Cypher,Killjoy,Brimstone,17,247,255,77,0.96,1.27,198,14.5,15.0,4.5,Filipino,English,
South Korea,Akame,REJECT,RC,Japan,7,Lurker,Raze,Astra,Killjoy,18,336,312,78,1.07,1.32,241,18.6,17.3,4.3,Japanese,Korean,
Vietnam,Akashi,LAZY,LAZY,Vietnam,5,Recon,Sova,Skye,Fade,13,129,194,82,0.66,1.08,148,9.9,14.9,6.3,Vietnamese,,
Vietnam,Albus,Rapid Lofi,RLF,Vietnam,1,Anchor,Cypher,Killjoy,KAY/O,14,184,213,77,0.86,1.22,183,13.1,15.2,5.5,Vietnamese,,
Thailand,AloNeFillz,Team NKT,NKT,Thailand,5,Flash,Gekko,Sova,Harbor,17,243,215,102,1.13,1.6,201,14.2,12.6,6.0,Thai,,
