country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
South Korea,Dambi,Sin Prisa Gaming,SPG,1,Entry,Raze,Jett,Iso,27,489,421,137,1.16,1.48,252,18.1,15.5,5,Korean,NaN,NaN
South Korea,JaebiN,SLT,SLT,4,Entry,Raze,Jett,Neon,23,402,373,117,1.07,1.39,232,17.4,16.2,5,Korean,NaN,NaN
South Korea,SeliG,Dplus,DK,3,Entry,Jett,Raze,Yoru,25,437,405,83,1.07,1.28,224,17.4,16.2,3.3,Korean,NaN,NaN
South Korea,Freeing,Dplus,DK,3,Anchor,Killjoy,Cypher,Viper,25,439,357,101,1.22,1.51,223,17.5,14.2,4,Korean,NaN,NaN
South Korea,Persia,Sin Prisa Gaming,SPG,1,Smoker,Omen,Brimstone,Clove,26,426,315,268,1.35,2.2,222,16.3,12.1,10.3,Korean,NaN,NaN
South Korea,Pkm,Nongshim RedForce,NS,2,Entry,Raze,Yoru,Neon,34,560,529,160,1.05,1.36,221,16.4,15.5,4.7,Korean,NaN,NaN
South Korea,SID,Nongshim RedForce,NS,2,Entry,Jett,Viper,Gekko,34,546,492,162,1.1,1.43,214,16,14.4,4.7,Korean,NaN,NaN
South Korea,Kally,SUPERFECT Esports,SPF,7,Lurker,Cypher,Killjoy,Astra,15,230,201,71,1.14,1.49,214,15.3,13.4,4.7,Korean,NaN,NaN
South Korea,Moves,SLT,SLT,4,Recon,Fade,KAY/O,Breach,23,369,357,205,1.03,1.6,210,16,15.5,8.9,Korean,NaN,NaN
South Korea,Xross,Nongshim RedForce,NS,2,Lurker,Killjoy,Yoru,Astra,34,542,448,214,1.2,1.68,209,15.9,13.1,6.2,Korean,NaN,NaN
South Korea,Sasuke,SUPERFECT Esports,SPF,7,Entry,Jett,Raze,Neon,11,168,173,39,0.97,1.19,208,15.2,15.7,3.5,Korean,NaN,NaN
South Korea,Ash,FearX,FOX,8,Entry,Jett,Raze,Neon,17,260,267,62,0.97,1.2,208,15.2,15.7,3.6,Korean,NaN,NaN
South Korea,margaret,Sin Prisa Gaming,SPG,1,Anchor,Cypher,NaN,NaN,27,412,363,163,1.13,1.58,204,15.2,13.4,6,Korean,NaN,NaN
