country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Thailand,Niffy,Sharper Esport,SPE,4,Entry,Raze,Jett,NaN,5,108,81,14,1.33,1.5,277,21.6,16.2,2.8,Thai,NaN,NaN
Thailand,Potter,XERXIA,XIA,3,Entry,Raze,Jett,NaN,6,114,102,17,1.11,1.28,244,19,17,2.8,Thai,NaN,NaN
Thailand,JohnOlsen,FULL SENSE,FS,1,Entry,Jett,Raze,Neon,11,185,177,47,1.04,1.31,241,16.8,16,4.2,Thai,NaN,NaN
Thailand,Kadoom,Made in Thailand,MITH,2,Entry,Jett,Raze,NaN,8,130,125,28,1.04,1.26,232,16.2,15.6,3.5,Thai,NaN,NaN
Thailand,killua,Made in Thailand,MITH,2,Anchor,Killjoy,Iso,Skye,8,134,122,48,1.09,1.49,226,16.7,15.2,6,Thai,NaN,NaN
Thailand,Seph1roth,Made in Thailand,MITH,2,Anchor,Cypher,Deadlock,Gekko,8,131,102,29,1.28,1.56,224,16.3,12.7,3.6,Thai,NaN,NaN
Thailand,CGRS,Made in Thailand,MITH,2,Recon,Sova,Cypher,NaN,8,119,104,65,1.14,1.76,211,14.8,13,8.1,Thai,NaN,NaN
Thailand,PTC,FULL SENSE,FS,1,Recon,KAY/O,Breach,Fade,11,171,148,94,1.15,1.79,210,15.5,13.4,8.5,Thai,NaN,NaN
Thailand,Siraphop,XERXIA,XIA,3,Recon,Gekko,Fade,Sova,6,99,92,30,1.07,1.4,208,16.5,15.3,5,Thai,NaN,NaN
Thailand,ALerT,XERXIA,XIA,3,Anchor,Cypher,Viper,NaN,6,93,93,22,1,1.23,203,15.5,15.5,3.6,Thai,NaN,NaN
Thailand,foxz,FULL SENSE,FS,1,Flash,Sova,Gekko,Breach,11,158,150,89,1.05,1.64,201,14.3,13.6,8,Thai,NaN,NaN
Thailand,Leviathan,FULL SENSE,FS,1,Smoker,Omen,Viper,NaN,11,172,152,84,1.13,1.68,199,15.6,13.8,7.6,Thai,NaN,NaN
Thailand,sushiboys,FULL SENSE,FS,1,Anchor,Cypher,Killjoy,Brimstone,11,158,156,70,1.01,1.46,195,14.3,14.1,6.3,Thai,NaN,NaN
Thailand,b3ta,XERXIA,XIA,3,Smoker,Omen,Brimstone,NaN,6,88,99,40,0.88,1.29,187,14.6,16.5,6.6,Thai,NaN,NaN
Thailand,PinOcChiOs,Sharper Esport,SPE,4,Flash,Breach,Gekko,KAY/O,5,60,91,45,0.65,1.15,176,12,18.2,9,Thai,NaN,NaN
Thailand,Reality,Sharper Esport,SPE,4,Anchor,Killjoy,Gekko,Cypher,5,60,87,26,0.68,0.98,172,12,17.4,5.2,Thai,NaN,NaN
Thailand,xZe,Sharper Esport,SPE,4,Smoker,Omen,NaN,NaN,5,62,82,26,0.75,1.07,159,12.4,16.4,5.2,Thai,NaN,NaN
Thailand,Kntz,Made in Thailand,MITH,2,Smoker,Omen,Brimstone,Viper,8,100,108,59,0.92,1.47,157,12.5,13.5,7.3,Thai,NaN,NaN
Thailand,BnwGiggs,XERXIA,XIA,3,Flash,Breach,Skye,NaN,6,67,105,43,0.63,1.04,152,11.1,17.5,7.1,Thai,NaN,NaN
Thailand,Acetics,Sharper Esport,SPE,4,Recon,Sova,Sage,Fade,5,53,88,24,0.6,0.87,148,10.6,17.6,4.8,Thai,NaN,NaN
