country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Indonesia,famouz,BOOM Esports,BME,1,Entry,Raze,Jett,NaN,28,566,383,134,1.47,1.82,279,20.2,13.6,4.7,Indonesian,NaN,NaN
Indonesia,fausTao,ARF TEAM,ARF,3,Entry,Raze,Jett,Yoru,23,403,365,94,1.1,1.36,240,17.5,15.8,4,Indonesian,NaN,NaN
Indonesia,Shiro,BOOM Esports,BME,1,Recon,Sova,Breach,Viper,28,486,358,271,1.35,2.11,235,17.3,12.7,9.6,Indonesian,NaN,NaN
Indonesia,Kush,Alter Ego,AE,2,Flash,Gekko,Skye,KAY/O,24,404,357,168,1.13,1.6,230,16.8,14.8,7,Indonesian,NaN,NaN
Indonesia,damaraa,Le Crapaud,LCR,8,Entry,Jett,Raze,NaN,15,253,263,57,0.96,1.17,227,16.8,17.5,3.8,Indonesian,NaN,NaN
Indonesia,woody,ARF TEAM,ARF,3,Flash,Gekko,KAY/O,Reyna,23,375,327,207,1.14,1.77,224,16.3,14.2,9,Indonesian,NaN,NaN
Indonesia,Lilo,Bigetron Arctic,BTR,4,Entry,Raze,Jett,Neon,22,348,370,81,0.94,1.15,221,15.8,16.8,3.6,Indonesian,NaN,NaN
Indonesia,Iceyyy,DIS Esports,DIS,7,Entry,Raze,Jett,NaN,7,110,110,20,1,1.18,221,15.7,15.7,2.8,Indonesian,NaN,NaN
Indonesia,Jefz,Cynical,CNL,5,Entry,Raze,Jett,NaN,17,249,261,76,0.95,1.24,219,14.6,15.3,4.4,Indonesian,NaN,NaN
Indonesia,k1ngkappa,THE HERO DETA,THD,5,Anchor,Cypher,Viper,Killjoy,24,371,349,113,1.06,1.38,216,15.4,14.5,4.7,Indonesian,NaN,NaN
Indonesia,Kylee,ARF TEAM,ARF,3,Anchor,Cypher,Killjoy,Viper,23,375,331,78,1.13,1.36,216,16.3,14.3,3.3,Indonesian,NaN,NaN
