country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Philippines,yokam,Carti World,CW,5,Entry,Jett,Raze,Neon,22,510,372,84,1.37,1.59,291,23.1,16.9,3.8,Filipino,English,NaN
Philippines,Zeus,Avernus Esports,AVN,7,Entry,Jett,Raze,Omen,19,345,288,70,1.19,1.44,265,18.1,15.1,3.6,Filipino,English,NaN
Philippines,Mojer,NAOS Esports,NAOS,1,Entry,Raze,Jett,Neon,28,506,434,139,1.16,1.48,253,18,15.5,4.9,Filipino,English,NaN
Philippines,KellyS,Oasis Gaming,OAS,3,Flash,Raze,KAY/O,Breach,23,442,366,177,1.2,1.69,252,19.2,15.9,7.6,Filipino,English,NaN
Philippines,JA,NAOS Esports,NAOS,1,Anchor,Cypher,Killjoy,Chamber,28,539,402,124,1.34,1.64,246,19.2,14.3,4.4,Filipino,English,NaN
Philippines,FallX,OLD STINKY CAT,MEOW,5,Entry,Raze,Jett,Clove,16,280,253,59,1.1,1.33,243,17.5,15.8,3.6,Filipino,English,NaN
Philippines,PatMen,ZOL Esports,ZOL,2,Recon,KAY/O,Skye,Viper,37,656,551,231,1.19,1.6,243,17.7,14.8,6.2,Filipino,English,NaN
Philippines,Sovano,Rank El Cuties,QT,8,Entry,Raze,Jett,Omen,12,213,197,42,1.08,1.29,240,17.7,16.4,3.5,Filipino,English,NaN
Philippines,par scofield,JustUs,JST,4,Entry,Reyna,Raze,Killjoy,24,405,375,96,1.08,1.33,237,16.8,15.6,4,Filipino,English,NaN
Philippines,LoyDreaM,JustUs,JST,4,Entry,Jett,Raze,Cypher,24,409,362,137,1.12,1.5,236,17,15,5.7,Filipino,English,NaN
Philippines,ZYND,ZOL Esports,ZOL,2,Anchor,Cypher,Jett,Killjoy,37,634,521,139,1.21,1.48,228,17.1,14,3.7,Filipino,English,NaN
Philippines,Markyyy,Oasis Gaming,OAS,3,Smoker,Viper,Jett,Sova,23,419,328,158,1.27,1.75,227,18.2,14.2,6.8,Filipino,English,NaN
Philippines,Denz,Avernus Esports,AVN,7,Anchor,Killjoy,Cypher,KAY/O,17,267,235,79,1.13,1.47,225,15.7,13.8,4.6,Filipino,English,NaN
Philippines,xavi8k,Oasis Gaming,OAS,3,Anchor,Cypher,Killjoy,Viper,23,402,334,132,1.2,1.59,223,17.4,14.5,5.7,Filipino,English,NaN
