country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Vietnam,alyaL,Team Flash,FPT,3,Lurker,Viper,Killjoy,Fade,15,260,189,81,1.37,1.8,250,17.3,12.6,5.4,Vietnamese,NaN,NaN
Vietnam,hansia,Crocodile Tear,TEAR,8,Entry,Jett,Raze,Neon,11,184,160,42,1.14,1.41,247,16.7,14.5,3.8,Vietnamese,NaN,NaN
Vietnam,lilhieu,Unicorn Cyber,UNC,7,Entry,Raze,Jett,Iso,13,225,211,64,1.06,1.36,240,17.3,16.2,4.9,Vietnamese,NaN,NaN
Vietnam,YESicaN,Fancy United Esports,FCY,2,Recon,KAY/O,NaN,NaN,12,190,140,113,1.35,2.16,240,15.8,11.6,9.4,Vietnamese,NaN,NaN
Vietnam,Moef,LAZY,LAZY,5,Entry,Jett,Raze,Reyna,13,209,201,32,1.03,1.19,235,16,15.4,2.4,Vietnamese,NaN,NaN
Vietnam,Nhatthong2k,Team Big BAAM,BAAM,5,Entry,Jett,Raze,Iso,17,298,287,63,1.03,1.25,234,17.5,16.8,3.7,Vietnamese,NaN,NaN
Vietnam,DaFt,Rapid Lofi,RLF,1,Entry,Jett,Raze,Gekko,20,330,296,109,1.11,1.48,233,16.5,14.8,5.4,Vietnamese,NaN,NaN
Vietnam,Hyuse,CyberKing Esports,CKE,4,Entry,Jett,Sova,Clove,15,234,228,56,1.02,1.27,233,15.6,15.2,3.7,Vietnamese,NaN,NaN
Vietnam,Gin,Fancy United Esports,FCY,2,Entry,Clove,Jett,Raze,12,193,173,29,1.11,1.28,232,16,14.4,2.4,Vietnamese,NaN,NaN
Vietnam,bobae,Crocodile Tear,TEAR,8,Recon,Sova,Gekko,Fade,11,175,150,53,1.16,1.52,232,15.9,13.6,4.8,Vietnamese,NaN,NaN
Vietnam,KillerS,Team Flash,FPT,3,Entry,Raze,Skye,Neon,15,235,194,100,1.21,1.72,229,15.6,12.9,6.6,Vietnamese,NaN,NaN
Vietnam,f1cio,Fancy United Esports,FCY,2,Anchor,Gekko,Deadlock,Viper,12,185,155,74,1.19,1.67,226,15.4,12.9,6.1,Vietnamese,NaN,NaN
Vietnam,Louboutin,Team Big BAAM,BAAM,5,Lurker,Killjoy,Omen,Sova,13,237,202,60,1.17,1.47,219,18.2,15.5,4.6,Vietnamese,NaN,NaN
