country,ign,team_name_full,shorthand,team_role,igl,standings,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3,sub_region
China,M1ng,1one,ONE,Smoker,FALSE,9th-12th,Brimstone,Omen,,4,63,61,33,1.03,1.57,225,15.7,15.2,8.2,Mandarin,,,China
China,WuDiXiaoXueSheng,1one,ONE,Lurker,FALSE,9th-12th,Yoru,Killjoy,KAY/O,4,66,65,25,1.01,1.4,214,16.5,16.2,6.2,Mandarin,,,China
China,Lucky,1one,ONE,Entry,FALSE,9th-12th,Raze,Jett,,4,52,66,8,0.78,0.9,181,13,16.5,2,Mandarin,,,China
China,JuSangBaBaRen,1one,ONE,Anchor,FALSE,9th-12th,Cypher,Breach,,4,46,65,19,0.7,1,153,11.5,16.2,4.7,Mandarin,,,China
China,XiaoBao,1one,ONE,Flash,FALSE,9th-12th,Gekko,Raze,Sova,4,36,66,27,0.54,0.95,145,9,16.5,6.7,Mandarin,,,China
China,Cartie,Ambitious Legend Gaming,ALG,Entry,FALSE,5th-8th,Raze,Jett,,8,152,123,25,1.23,1.43,264,19,15.3,3.1,Mandarin,,,China
China,huNter,Ambitious Legend Gaming,ALG,Smoker,FALSE,5th-8th,Omen,Astra,,8,122,111,68,1.09,1.71,208,15.2,13.8,8.5,Mandarin,,,China
China,Main,Ambitious Legend Gaming,ALG,Anchor,FALSE,5th-8th,Killjoy,Cypher,,8,123,126,16,0.97,1.1,197,15.3,15.7,2,Mandarin,,,China
China,Volay,Ambitious Legend Gaming,ALG,Recon,FALSE,5th-8th,Sova,Skye,Gekko,8,105,112,46,0.93,1.34,180,13.1,14,5.7,Mandarin,,,China
China,Link,Ambitious Legend Gaming,ALG,Flash,FALSE,5th-8th,Breach,Omen,KAY/O,8,103,113,88,0.91,1.69,180,12.8,14.1,11,Mandarin,,,China
Australia,Maple,Chosen Clique Gaming,CCG,Recon,FALSE,3th-4th,KAY/O,Fade,Breach,5,103,73,57,1.41,2.19,277,20.6,14.6,11.4,Mandarin,English,,China
Taiwan,Green,Chosen Clique Gaming,CCG,Lurker,FALSE,3th-4th,Sova,Yoru,Viper,5,100,76,32,1.31,1.73,239,20,15.2,6.4,Mandarin,,,China
China,ZiXuan,Chosen Clique Gaming,CCG,Smoker,FALSE,3th-4th,Omen,,,1,17,18,13,0.94,1.66,196,17,18,13,Mandarin,,,China
Portugal,KaweNtw,Chosen Clique Gaming,CCG,Anchor,FALSE,3th-4th,Cypher,Deadlock,Killjoy,5,83,70,31,1.18,1.62,194,16.6,14,6.2,Mandarin,Portuguese,Mirandese,China
China,Zoomer,Chosen Clique Gaming,CCG,Entry,FALSE,3th-4th,Jett,Raze,,5,75,85,15,0.88,1.05,188,15,17,3,Mandarin,,,China
China,Coco,Chosen Clique Gaming,CCG,Smoker,FALSE,3th-4th,Omen,,,3,38,40,27,0.95,1.62,158,12.6,13.3,9,Mandarin,,,China
China,Deep9,Chosen Clique Gaming,CCG,Smoker,FALSE,3th-4th,Omen,,,1,13,19,9,0.68,1.15,155,13,19,9,Mandarin,,,China
China,yll,I May,IMAY,Flex,FALSE,13th-16th,Reyna,Iso,,2,27,30,10,0.9,1.23,211,13.5,15,5,Mandarin,,,China
China,Tapp,I May,IMAY,Smoker,FALSE,13th-16th,Brimstone,Viper,,2,24,30,6,0.8,1,188,12,15,3,Mandarin,,,China
China,BaiLanDi,I May,IMAY,Anchor,FALSE,13th-16th,Cypher,,,2,19,34,5,0.55,0.7,167,9.5,17,2.5,Mandarin,,,China
China,shame,I May,IMAY,Recon,FALSE,13th-16th,Skye,Sova,,2,21,30,9,0.7,1,166,10.5,15,4.5,Mandarin,,,China
China,YU,I May,IMAY,Entry,FALSE,13th-16th,Raze,Jett,,2,16,32,4,0.5,0.62,136,8,16,2,Mandarin,,,China
Russia,Anoxai,KeepBest Gaming,KBG,Entry,FALSE,2nd,Jett,Raze,Neon,7,120,100,33,1.2,1.53,255,17.1,14.2,4.7,Mandarin,Russian,,China
Kazakhstan,dimasick,KeepBest Gaming,KBG,Smoker,FALSE,2nd,Omen,Harbor,Sova,7,121,87,54,1.39,2.01,230,17.2,12.4,7.7,Mandarin,Kazakh,Russian,China
China,Suyjing,KeepBest Gaming,KBG,Anchor,FALSE,2nd,Cypher,Killjoy,Gekko,7,122,89,33,1.37,1.74,224,17.4,12.7,4.7,Mandarin,,,China
China,izyy,KeepBest Gaming,KBG,Smoker,FALSE,2nd,Viper,Astra,,7,98,99,41,0.98,1.4,208,14,14.1,5.8,Mandarin,,,China
Hong Kong,Ace,KeepBest Gaming,KBG,Flash,FALSE,2nd,Skye,Gekko,KAY/O,7,89,82,65,1.08,1.87,176,12.7,11.7,9.2,Mandarin,Cantonese,English,China
China,cxy0714,Kulin Esports,KE,Entry,FALSE,3th-4th,Jett,Raze,Reyna,7,126,95,24,1.32,1.57,273,18,13.5,3.4,Mandarin,,,China
China,Click,Kulin Esports,KE,Anchor,FALSE,3th-4th,Killjoy,Clove,KAY/O,7,115,88,33,1.3,1.68,230,16.4,12.5,4.7,Mandarin,,,China
China,k1te,Kulin Esports,KE,Recon,FALSE,3th-4th,Sova,Cypher,Skye,7,98,78,37,1.25,1.73,209,14,11.1,5.2,Mandarin,,,China
China,9st,Kulin Esports,KE,Recon,FALSE,3th-4th,KAY/O,Skye,Viper,7,82,102,61,0.8,1.4,187,11.7,14.5,8.7,Mandarin,,,China
China,yeoj,Kulin Esports,KE,Smoker,FALSE,3th-4th,Omen,Brimstone,,7,81,88,82,0.92,1.85,184,11.5,12.5,11.7,Mandarin,,,China
China,SuNuo,LanTu Gaming,LTG,Smoker,FALSE,13th-16th,Omen,Brimstone,,3,57,41,16,1.39,1.78,277,19,13.6,5.3,Mandarin,,,China
China,LuSe4y,LanTu Gaming,LTG,Flash,FALSE,13th-16th,Breach,Gekko,,3,42,43,15,0.97,1.32,222,14,14.3,5,Mandarin,,,China
China,FishQAQ,LanTu Gaming,LTG,Recon,FALSE,13th-16th,Sova,Skye,Fade,3,30,47,14,0.63,0.93,168,10,15.6,4.6,Mandarin,,,China
China,Cykk,LanTu Gaming,LTG,Entry,FALSE,13th-16th,Raze,,,3,26,51,7,0.5,0.64,142,8.6,17,2.3,Mandarin,,,China
China,Jerry,LanTu Gaming,LTG,Anchor,FALSE,13th-16th,Cypher,,,3,29,48,8,0.6,0.77,135,9.6,16,2.6,Mandarin,,,China
China,ropz,Lao Tou Le,LTL,Smoker,FALSE,13th-16th,Brimstone,Fade,,2,17,35,15,0.48,0.91,101,8.5,17.5,7.5,Mandarin,,,China
China,Ch1ka,LaoTouLe,LTL,Flex,FALSE,13th-16th,Reyna,Chamber,,2,48,41,13,1.17,1.48,272,24,20.5,6.5,Mandarin,,,China
China,Jamppi,LaoTouLe,LTL,Smoker,FALSE,13th-16th,Harbor,Breach,,2,45,32,12,1.4,1.78,238,22.5,16,6,Mandarin,,,China
China,TianQiZhiZi,LaoTouLe,LTL,Recon,FALSE,13th-16th,Skye,Viper,,2,42,33,10,1.27,1.57,218,21,16.5,5,Mandarin,,,China
China,Amanoh,LaoTouLe,LTL,Entry,FALSE,13th-16th,Raze,Omen,,2,31,40,9,0.77,1,181,15.5,20,4.5,Mandarin,,,China
South Korea,Sylvan,Octagonal Disposition Gaming,ODG,Smoker,FALSE,9th-12th,Omen,,,4,93,59,45,1.57,2.33,267,23.2,14.7,11.2,Mandarin,Korean,,China
China,Strawberrycc,Octagonal Disposition Gaming,ODG,Entry,FALSE,9th-12th,Raze,Jett,,4,77,78,21,0.98,1.25,246,19.2,19.5,5.2,Mandarin,,,China
South Korea,WIX,Octagonal Disposition Gaming,ODG,Anchor,FALSE,9th-12th,Killjoy,Cypher,,4,66,77,24,0.85,1.16,197,16.5,19.2,6,Mandarin,Korean,,China
Taiwan,yCw,Octagonal Disposition Gaming,ODG,Smoker,FALSE,9th-12th,Viper,Sova,,4,65,68,30,0.95,1.39,194,16.2,17,7.5,Mandarin,,,China
China,2cy,Octagonal Disposition Gaming,ODG,Recon,FALSE,9th-12th,Skye,KAY/O,,4,42,75,36,0.56,1.04,117,10.5,18.7,9,Mandarin,,,China
China,K1ra,Qing Jiu Club,Q9,Anchor,FALSE,5th-8th,Cypher,Killjoy,Viper,5,91,64,15,1.42,1.65,233,18.2,12.8,3,Mandarin,,,China
