country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Belarus,Levant and North Africa,Russian,Belarusian,,7ssk7,Support,FALSE,3rd,NASR Esports,NASR,Breach,Skye,Fade,33,459,370,321,1.24,2.1,192,13.9,11.2,9.7
Poland,Portugal,Polish,,,999kvmil,Entry,FALSE,3rd,Ex0Tik Gaming,EX0,Fade,Raze,Yoru,21,281,282,79,0.99,1.27,203,13.3,13.4,3.7
Palestine,GCC and Iraq,Arabic,,,A1mly,Anchor,FALSE,3rd,Underground Gaming,UG,Killjoy,Cypher,Yoru,34,476,489,108,0.97,1.19,190,14,14.3,3.1
Algeria,Levant and North Africa,Arabic,French,,ACHRF,Support,FALSE,4th,Onyx Ravens,OXR,Gekko,Sova,Skye,33,471,463,213,1.01,1.47,196,14.2,14,6.4
France,France,French,,,AKUMAAAAA,Smoker,FALSE,4th,Mandatory,MDR,Omen,KAY/O,Harbor,26,435,397,176,1.09,1.53,223,16.7,15.2,6.7
Israel,East EMEA,Hebrew,,,ALIVE,Entry,FALSE,3rd,Acend,ACE,Jett,Raze,,36,591,550,137,1.07,1.32,214,16.4,15.2,3.8
Russia,East EMEA,Russian,,,ANXiOS,Support,TRUE,4th,trashcan,TR,Skye,Omen,KAY/O,34,334,517,324,0.64,1.27,147,9.8,15.2,9.5
Netherlands,North EMEA,Dutch,,,APHUN,Flex,FALSE,2nd,SweetNSour,SNS,Omen,Cypher,,4,83,59,31,1.4,1.93,256,20.7,14.7,7.7
France,France,French,,,APO,Support,FALSE,7th,Solary,SLY,Sova,Fade,Skye,19,283,316,133,0.89,1.31,183,14.8,16.6,7
Italy,Italy,Italian,,,ASTER,Support,FALSE,7th,RTZN,RTZN,KAY/O,Breach,Fade,13,159,203,95,0.78,1.25,162,12.2,15.6,7.3
Portugal,Portugal,Portuguese,Mirandese,,Addicted,Support,FALSE,1st,SAW,SAW,Sova,Gekko,Deadlock,22,321,242,139,1.32,1.9,208,14.5,11,6.3
United Arab Emirates,GCC and Iraq,Arabic,,,Akai,Entry,FALSE,1st,Team Falcons,FLC,Raze,Jett,Reyna,33,692,450,112,1.53,1.78,297,20.9,13.6,3.3
Portugal,Portugal,Portuguese,Mirandese,,Akira,Support,FALSE,2nd,PPP,PPP,Sova,Omen,Fade,24,294,292,191,1,1.66,192,12.2,12.1,7.9
Sweden,North EMEA,Swedish,,,Ale,Entry,FALSE,4th,OnlyFins,OF,Raze,Jett,Neon,27,443,395,122,1.12,1.43,225,16.4,14.6,4.5
Czechia,France,French,Czech,,Ambi,Support,FALSE,2nd,Valiant,VLNT,KAY/O,Breach,Deadlock,25,366,368,216,0.99,1.58,197,14.6,14.7,8.6
Portugal,Portugal,Portuguese,Mirandese,,AndreSG,Support,FALSE,7th,FUZOS,FUZO,Omen,Sova,Fade,13,137,223,112,0.61,1.11,142,10.5,17.1,8.6
Turkey,Turkey,Turkish,,,Anima,Support,FALSE,2nd,HOWL Esports,HOWL,Skye,KAY/O,Fade,34,476,462,349,1.03,1.78,190,14,13.5,10.2
Russia,Italy,Italian,Russian,,Anq,Entry,FALSE,5th,VX300 Gaming,VX3,Raze,Jett,,9,128,117,19,1.09,1.25,204,14.2,13,2.1
Saudi Arabia,GCC and Iraq,Arabic,,,Antigon,Flex,FALSE,8th,Vision Esports,VIS,Jett,Sova,,6,55,93,24,0.59,0.84,129,9.1,15.5,4
Netherlands,Italy,Italian,Dutch,,Apyr,Entry,FALSE,5th,VX300 Gaming,VX3,Yoru,Raze,Jett,3,36,54,15,0.66,0.94,166,12,18,5
Spain,Portugal,Spanish,,,Aqua,Support,FALSE,3rd,Ex0Tik Gaming,EX0,Breach,Sova,Omen,21,204,284,153,0.71,1.25,149,9.7,13.5,7.2
