country,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Brazil,Portuguese,,,Enderzita,Anchor,False,7th-8th,donas da bala,DDB,Cypher,Viper,Killjoy,5,64,73,15,0.87,1.08,192,12.8,14.6,3.0
Brazil,Portuguese,,,Flor,Entry,False,7th-8th,páprica picante,,Neon,Jett,,5,63,83,16,0.75,0.95,217,12.6,16.6,3.2
Brazil,Portuguese,,,GabiTe,Smoker,False,4th,Team Leveling,TLV,Killjoy,Omen,Viper,10,166,141,48,1.17,1.51,205,16.6,14.1,4.8
Brazil,Portuguese,,,Jelly,Support,False,1st,MIBR GC,MIBR.GC,Gekko,Breach,KAY/O,11,195,152,110,1.28,2.0,231,17.7,13.8,10.0
Brazil,Portuguese,,,Jenniffer,Entry,False,3rd,REVOADA,REV,Raze,Jett,,13,186,196,34,0.94,1.12,195,14.3,15.0,2.6
Brazil,Portuguese,,,Joojina,Smoker,False,1st,Team Liquid Brazil,TL,Omen,Brimstone,Astra,15,228,193,133,1.18,1.87,209,15.2,12.8,8.8
Brazil,Portuguese,,,Jubs,Anchor,False,1st,MIBR GC,MIBR.GC,Cypher,Killjoy,Viper,11,173,141,43,1.22,1.53,203,15.7,12.8,3.9
Brazil,Portuguese,,,Misty,Support,False,7th-8th,donas da bala,DDB,KAY/O,Sova,Breach,5,46,77,30,0.59,0.98,146,9.2,15.4,6.0
Brazil,Portuguese,,,Mittens,Smoker,False,7th-8th,PS5PATAS,PATA,Astra,Viper,Omen,4,34,58,16,0.58,0.86,141,8.5,14.5,4.0
Brazil,Portuguese,,,Natasha,Anchor,False,5th-6th,Team Brave Soldiers GC,TBS,Killjoy,Cypher,Omen,6,88,79,20,1.11,1.36,200,14.6,13.1,3.3
Brazil,Portuguese,,,Shizue,Flex,False,7th-8th,DreamMax e-Sports,,Sova,Killjoy,,5,68,64,11,1.06,1.23,204,13.6,12.8,2.2
Brazil,Portuguese,,,Speedy,Smoker,False,5th-6th,Team Brave Soldiers GC,TBS,Viper,Omen,,4,56,58,19,0.96,1.29,191,14.0,14.5,4.7
Brazil,Portuguese,,,Waved,Entry,False,5th-6th,LOUD Female,LOUD.GC,Raze,Jett,,7,150,122,27,1.22,1.45,269,21.4,17.4,3.8
Brazil,Portuguese,,,anninha,Anchor,False,7th-8th,DreamMax e-Sports,,Cypher,Skye,Killjoy,5,42,70,21,0.6,0.9,139,8.4,14.0,4.2
Brazil,Portuguese,,,antG,Support,False,2nd,LOUD Female,LOUD.GC,KAY/O,Deadlock,Skye,16,263,222,168,1.18,1.94,213,16.4,13.8,10.5
Brazil,Portuguese,,,ayumi,Support,False,7th-8th,páprica picante,,Gekko,Sova,,5,38,70,16,0.54,0.77,113,7.6,14.0,3.2
Brazil,Portuguese,,,azpect,Entry,False,7th-8th,PS5PATAS,PATA,Jett,Raze,,4,41,61,12,0.67,0.86,189,10.2,15.2,3.0
Brazil,Portuguese,,,bizerra,Anchor,False,1st,Team Liquid Brazil,TL,Viper,Killjoy,Cypher,15,249,179,85,1.39,1.86,234,16.6,11.9,5.6
Brazil,Portuguese,,,blu,Support,False,2nd,LOUD Female,LOUD.GC,Gekko,Sova,Fade,16,163,212,115,0.76,1.31,135,10.1,13.2,7.1
Chile,Portuguese,Spanish,,bstrdd,Entry,False,1st,Team Liquid Brazil,TL,Raze,Jett,Cypher,15,271,215,57,1.26,1.52,251,18.0,14.3,3.8
Brazil,Portuguese,,,daiki,Support,True,1st,Team Liquid Brazil,TL,Skye,KAY/O,Fade,15,221,193,130,1.14,1.81,201,14.7,12.8,8.6
Brazil,Portuguese,,,drn,Smoker,False,3rd,REVOADA,REV,Omen,Viper,Brimstone,13,163,180,116,0.9,1.55,185,12.5,13.8,8.9
Brazil,Portuguese,,,fer,Anchor,False,7th-8th,PS5PATAS,PATA,Killjoy,Cypher,,4,35,57,9,0.61,0.77,148,8.7,14.2,2.2
Brazil,Portuguese,,,flor,Entry,False,7th-8th,donas da bala,DDB,Jett,Raze,Phoenix,5,58,79,16,0.73,0.93,179,11.6,15.8,3.2
Brazil,Portuguese,,,gabe,Support,False,7th-8th,donas da bala,DDB,Gekko,Sova,,5,59,69,18,0.85,1.11,170,11.8,13.8,3.6
Brazil,Portuguese,,,gabee,Flex,False,7th-8th,DreamMax e-Sports,,KAY/O,Omen,Sage,5,31,70,28,0.44,0.84,99,6.2,14.0,5.6
Brazil,Portuguese,,,gabiTe,Smoker,False,4th,Team Leveling,TLV,Omen,Brimstone,Killjoy,10,131,134,43,0.97,1.29,184,13.1,13.4,4.3
Brazil,Portuguese,,,gigika,Smoker,False,7th-8th,donas da bala,DDB,Omen,Brimstone,Viper,5,57,77,31,0.74,1.14,179,11.4,15.4,6.2
Brazil,Portuguese,,,isa1,Entry,False,4th,Team Leveling,TLV,Raze,Jett,,10,177,165,49,1.07,1.36,228,17.7,16.5,4.9
Brazil,Portuguese,,,isaa,Support,False,1st,Team Liquid Brazil,TL,Gekko,Viper,Sova,15,191,210,102,0.9,1.39,177,12.7,14.0,6.8
Argentina,Portuguese,Spanish,,kalita,Support,False,3rd,REVOADA,REV,Sova,Viper,Skye,13,158,187,82,0.84,1.28,168,12.1,14.3,6.3
Brazil,Portuguese,,,krysme,Anchor,False,3rd,REVOADA,REV,Killjoy,Viper,Cypher,13,196,189,36,1.03,1.22,204,15.0,14.5,2.7
Brazil,Portuguese,,,let,Entry,False,7th-8th,DreamMax e-Sports,,Jett,Raze,,5,58,77,21,0.75,1.02,187,11.6,15.4,4.2
Brazil,Portuguese,,,lissa,Flex,False,5th-6th,LOUD Female,LOUD.GC,Viper,Killjoy,,7,105,104,33,1.0,1.32,196,15.0,14.8,4.7
Brazil,Portuguese,,,luiza,Flex,False,4th,Team Leveling,TLV,Viper,Cypher,,10,172,162,62,1.06,1.44,212,17.2,16.2,6.2
Brazil,Portuguese,,,m4ndzin,Smoker,False,2nd,LOUD Female,LOUD.GC,Omen,Viper,Brimstone,16,258,215,157,1.2,1.93,217,16.1,13.4,9.8
Brazil,Portuguese,,,mandy,Support,False,3rd,REVOADA,REV,KAY/O,Fade,Chamber,13,223,203,96,1.09,1.57,235,17.1,15.6,7.3
Brazil,Portuguese,,,meL,Support,False,1st,MIBR GC,MIBR.GC,Sova,Fade,Omen,11,146,144,81,1.01,1.57,172,13.2,13.0,7.3
Brazil,Portuguese,,,mindle,Support,False,4th,Team Leveling,TLV,Sova,Fade,Skye,10,142,174,67,0.81,1.2,177,14.2,17.4,6.7
Brazil,Portuguese,,,mizzy,Support,False,5th-6th,REVOADA,REV,Gekko,Breach,Viper,6,89,82,44,1.08,1.62,214,14.8,13.6,7.3
Brazil,Portuguese,,,natasha,Anchor,False,2nd,LOUD Female,LOUD.GC,Cypher,Killjoy,Brimstone,16,240,223,73,1.07,1.4,190,15.0,13.9,4.5
Brazil,Portuguese,,,phobia,Support,False,7th-8th,páprica picante,,Omen,Skye,Sova,5,46,75,26,0.61,0.96,153,9.2,15.0,5.2
Brazil,Portuguese,,,sayuri,Smoker,True,1st,MIBR GC,MIBR.GC,Omen,Brimstone,Breach,11,148,138,140,1.07,2.08,185,13.4,12.5,12.7
Brazil,Portuguese,,,shyz,Support,False,5th-6th,Team Brave Soldiers GC,TBS,Breach,Omen,Sova,6,50,90,38,0.55,0.97,136,8.3,15.0,6.3
Brazil,Portuguese,,,speedy,Anchor,False,5th-6th,Team Brave Soldiers GC,TBS,Killjoy,Brimstone,Cypher,8,91,131,51,0.69,1.08,152,11.3,16.3,6.3
Brazil,Portuguese,,,srN,Entry,False,1st,MIBR GC,MIBR.GC,Jett,Raze,Yoru,11,234,165,44,1.41,1.68,279,21.2,15.0,4.0
Brazil,Portuguese,,,tayhuhu,Support,False,5th-6th,LOUD Female,LOUD.GC,Fade,Sova,Breach,7,72,103,56,0.69,1.24,143,10.2,14.7,8.0
Uruguay,Portuguese,Spanish,,theozy,Support,False,5th-6th,Team Brave Soldiers GC,TBS,Fade,Skye,Gekko,6,102,85,44,1.2,1.71,243,17.0,14.1,7.3
Brazil,Portuguese,,,vii,Entry,False,5th-6th,Team Brave Soldiers GC,TBS,Raze,Jett,,6,80,96,14,0.83,0.97,200,13.3,16.0,2.3
Brazil,Portuguese,,,waved,Entry,False,2nd,LOUD Female,LOUD.GC,Raze,Neon,Jett,16,329,250,65,1.31,1.57,288,20.5,15.6,4.0
Brazil,Portuguese,,,wintery,Entry,False,4th,Team Leveling,TLV,Neon,Raze,Iso,10,184,154,43,1.19,1.47,262,18.4,15.4,4.3
