country,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Turkey,Turkish,,,rezq,Entry,False,1st,G2 Gozen,G2.G,Raze,Jett,,18,334,241,75,1.38,1.69,273,18.5,13.3,4.1
Bahrain,Arabic,,,Mary,Entry,False,2nd,Falcons Vega,FLCV,Raze,Jett,Chamber,20,386,303,67,1.27,1.49,259,19.3,15.1,3.3
Poland,Polish,,,Marti,Entry,False,4th,NASR Ignite,NSR.I,Jett,Raze,,18,314,287,65,1.09,1.32,244,17.4,15.9,3.6
United States,English,,,Thykuza,Entry,False,9th-10th,Valiant GC,VLNT,Jett,Raze,,9,144,163,35,0.88,1.09,229,16.0,18.1,3.8
Turkey,Turkish,,,Smurfette,Entry,False,3rd,GIANTX GC,GX.C,Raze,Jett,,20,321,307,69,1.04,1.27,228,16.0,15.3,3.4
Turkey,Turkish,,,alkyia,Entry,False,5th-6th,BBL Queens,BBL.Q,Raze,Jett,,15,239,229,50,1.04,1.26,228,15.9,15.2,3.3
Turkey,Turkish,,,Vania,Smoker,False,1st,G2 Gozen,G2.G,Omen,Viper,Clove,18,294,210,145,1.4,2.09,227,16.3,11.6,8.0
France,French,,,Nelo,Support,False,5th-6th,Karmine Corp GC,KC.GC,KAY/O,Killjoy,Gekko,17,300,269,117,1.11,1.55,226,17.6,15.8,6.8
Sweden,Swedish,,,Joliinaa,Smoker,False,3rd,GIANTX GC,GX.C,Omen,Viper,Astra,20,315,275,176,1.14,1.78,221,15.7,13.7,8.8
Spain,Spanish,,,Annie,Entry,False,7th-8th,Odd 1 OUT,O1O,Jett,Neon,Raze,15,265,265,53,1.0,1.2,220,17.6,17.6,3.5
Turkey,Turkish,,,schnellÆ,Smoker,False,5th-6th,BBL Queens,BBL.Q,Omen,Chamber,Brimstone,15,228,217,94,1.05,1.48,217,15.2,14.4,6.2
Netherlands,Dutch,,,Petra,Support,False,1st,G2 Gozen,G2.G,Fade,Sova,Skye,18,261,218,123,1.19,1.76,214,14.5,12.1,6.8
Finland,Finnish,Swedish,,leeni,Entry,False,9th-10th,FOKUS Sakura,FKS.S,Raze,Jett,,8,115,137,28,0.83,1.04,213,14.3,17.1,3.5
Turkey,Turkish,,,Eva,Support,False,2nd,Falcons Vega,FLCV,Gekko,Skye,Sova,25,418,338,135,1.23,1.63,208,16.7,13.5,5.4
Turkey,Turkish,,,Lyda,Smoker,False,7th-8th,HEROIC Valkyries,HERO,Viper,Omen,,13,176,187,57,0.94,1.24,207,13.5,14.3,4.3
Turkey,Turkish,,,ness,Support,False,3rd,GIANTX GC,GX.C,Sova,Gekko,Fade,18,268,233,113,1.15,1.63,206,14.8,12.9,6.2
Turkey,Turkish,,,Jduh,Smoker,True,7th-8th,Odd 1 OUT,O1O,Omen,Astra,Harbor,15,266,220,104,1.2,1.68,205,17.7,14.6,6.9
Turkey,Turkish,,,Wens,Anchor,False,5th-6th,BBL Queens,BBL.Q,Viper,Cypher,Sage,15,217,201,64,1.07,1.39,204,14.4,13.4,4.2
Turkey,Turkish,,,miyori,Anchor,False,3rd,GIANTX GC,GX.C,Killjoy,Cypher,Viper,20,299,256,75,1.16,1.46,202,14.9,12.8,3.7
Scotland,English,Scots,,fluxxy,Anchor,False,7th-8th,Odd 1 OUT,O1O,Cypher,Killjoy,,15,249,241,63,1.03,1.29,201,16.6,16.0,4.2
Lithuania,Lithuanian,,,adora,Entry,False,7th-8th,HEROIC Valkyries,HERO,Jett,Raze,Yoru,13,173,194,32,0.89,1.05,200,13.3,14.9,2.4
Russia,Russian,,,Glance,Support,False,5th-6th,Karmine Corp GC,KC.GC,Sova,Breach,Omen,17,257,241,132,1.06,1.61,200,15.1,14.1,7.7
Algeria,Arabic,French,,Nami,Smoker,False,4th,NASR Ignite,NSR.I,Viper,Omen,Deadlock,18,271,268,113,1.01,1.43,198,15.0,14.8,6.2
Netherlands,Dutch,,,amy,Anchor,False,1st,G2 Gozen,G2.G,Cypher,Killjoy,Viper,18,272,210,83,1.29,1.69,197,15.1,11.6,4.6
Denmark,Danish,English,,mimi,Support,True,1st,G2 Gozen,G2.G,KAY/O,Viper,Breach,18,254,196,138,1.29,2.0,196,14.1,10.8,7.6
Belgium,Dutch,French,German,matriix,Entry,False,5th-6th,Karmine Corp GC,KC.GC,Jett,Raze,,17,274,291,46,0.94,1.09,196,16.1,17.1,2.7
Saudi Arabia,Arabic,,,madv,Support,True,2nd,Falcons Vega,FLCV,Breach,KAY/O,Gekko,25,375,376,196,0.99,1.51,195,15.0,15.0,7.8
Turkey,Turkish,,,mimier,Support,False,3rd,GIANTX GC,GX.C,Sova,,,2,25,32,13,0.78,1.18,194,12.5,16.0,6.5
Algeria,Arabic,French,,safiaa,Flex,False,4th,NASR Ignite,NSR.I,Omen,Cypher,Phoenix,18,260,252,92,1.03,1.39,193,14.4,14.0,5.1
Turkey,Turkish,,,Kuripuuya,Smoker,True,5th-6th,Karmine Corp GC,KC.GC,Viper,Omen,Breach,17,240,238,141,1.0,1.6,192,14.1,14.0,8.2
Germany,German,,,roxi,Anchor,False,5th-6th,Karmine Corp GC,KC.GC,Cypher,Killjoy,Sage,17,255,249,103,1.02,1.43,190,15.0,14.6,6.0
Turkey,Turkish,,,Felipa,Support,False,5th-6th,BBL Queens,BBL.Q,Fade,Breach,Sova,15,196,203,95,0.96,1.43,186,13.0,13.5,6.3
France,French,,,Looxie,Anchor,False,4th,NASR Ignite,NSR.I,Gekko,Cypher,Killjoy,18,242,272,92,0.88,1.22,186,13.4,15.1,5.1
Poland,Polish,,,speedowka,Support,False,4th,NASR Ignite,NSR.I,Sova,,,1,12,9,6,1.33,2.0,185,12.0,9.0,6.0
Spain,Spanish,,,TookiiTookii,Smoker,False,2nd,Falcons Vega,FLCV,Omen,Viper,Raze,25,335,367,160,0.91,1.34,184,13.4,14.6,6.4
United States,English,,,klaudia,Support,False,7th-8th,Odd 1 OUT,O1O,KAY/O,Breach,,15,218,223,164,0.97,1.71,183,14.5,14.8,10.9
Romania,Romanian,,,6sonya,Support,False,7th-8th,Odd 1 OUT,O1O,Sova,,,15,212,234,94,0.9,1.3,183,14.1,15.6,6.2
