country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
South Korea,South Korea,Korean,,,332,Support,False,1st,Mir Gaming GC,MIR,Sova,Fade,Gekko,8,103,100,60,1.03,1.63,183,12.8,12.5,7.5
Philippines,South East Asia,Filipino,English,,69Shinobu,Flex,False,4th,4Fun (Filipino team),4F,Clove,Reyna,Gekko,11,123,167,98,0.73,1.32,167,11.1,15.1,8.9
Japan,Japan,Japanese,,,Ache,Entry,False,5th-6th,DRX Changers,DRX,Jett,Raze,Neon,7,129,106,28,1.21,1.48,241,18.4,15.1,4.0
International,South Asia,English,,,AfterLyfe,Entry,False,3rd-4th,Gang Gang,GANG,Iso,,,1,8,14,5,0.57,0.92,166,8.0,14.0,5.0
Thailand,South East Asia,Thai,,,AhMei,Flex,False,9th-12th,LILITH,LL,Clove,Killjoy,Iso,6,85,96,38,0.88,1.28,217,14.1,16.0,6.3
Japan,Japan,Japanese,,,Aika,Anchor,False,5th-6th,DRX Changers,DRX,Cypher,Killjoy,Viper,7,85,101,23,0.84,1.06,158,12.1,14.4,3.2
Philippines,South East Asia,Filipino,English,,Aisling,Support,False,4th,4Fun (Filipino team),4F,Sova,Skye,Brimstone,13,166,169,112,0.98,1.64,181,12.7,13.0,8.6
Philippines,South East Asia,Filipino,English,,Alexy,Entry,False,1st,Xipto Esports,XIP,Jett,Reyna,Fade,14,227,138,59,1.64,2.07,253,16.2,9.8,4.2
Philippines,South East Asia,Filipino,English,,Alluka,Smoker,False,3rd,BOBA,BOBA,Breach,Harbor,Omen,15,201,198,141,1.01,1.72,184,13.4,13.2,9.4
India,South Asia,Hindi,English,,Amy,Support,False,1st,Purr-Fectionists,PURR,Breach,Gekko,Viper,5,55,64,52,0.85,1.67,159,11.0,12.8,10.4
Thailand,South East Asia,Thai,,,Angela,Entry,False,5th-6th,Invincible gc,INVI,Raze,Jett,,12,213,206,58,1.03,1.31,238,17.7,17.1,4.8
South Korea,South Korea,Korean,,,Arin,Anchor,False,3rd,Nuclear GC,NC,Viper,Killjoy,Cypher,7,110,96,28,1.14,1.43,206,15.7,13.7,4.0
Thailand,South East Asia,Thai,,,ArinJi,Entry,False,9th-12th,LILITH,LL,Reyna,Raze,Sage,6,84,94,32,0.89,1.23,233,14.0,15.6,5.3
Philippines,South East Asia,Filipino,English,,Arki,Flex,False,7th-8th,Avernus Esports GC,AVN,Cypher,Breach,Omen,11,116,172,54,0.67,0.98,157,10.5,15.6,4.9
Australia,Oceania,English,,,Artewolf,Support,False,9th-10th,Clueless,CLS,Gekko,Sova,,4,41,69,20,0.59,0.88,144,10.2,17.2,5.0
Malaysia,South East Asia,Malay,,,Ayumiii,Entry,False,3rd,BOBA,BOBA,Raze,Neon,Yoru,15,251,213,88,1.17,1.59,241,16.7,14.2,5.8
South Korea,South Korea,Korean,,,B1nby0,Smoker,False,2nd,URACHACHA GC,UR,Omen,Viper,,10,123,161,86,0.76,1.29,169,12.3,16.1,8.6
South Korea,South Korea,Korean,,,BIBI,Support,False,1st,Mir Gaming GC,MIR,Breach,Killjoy,KAY/O,8,113,108,63,1.04,1.62,207,14.1,13.5,7.8
Pakistan,South Asia,English,Urdu,,BriTSy,Smoker,False,3rd-4th,Asmodeus Colosseum Esports,ACE,Omen,,,2,33,37,17,0.89,1.35,195,16.5,18.5,8.5
Philippines,South East Asia,Filipino,English,,Bugsy,Support,False,9th-12th,RIMA GC,RIMA,Breach,KAY/O,,9,131,139,91,0.94,1.59,210,14.5,15.4,10.1
Thailand,South East Asia,Thai,,,BuubuuCute,Flex,False,7th-8th,LILAX,LI,Raze,Sova,,2,11,28,3,0.39,0.5,130,5.5,14.0,1.5
India,South Asia,Hindi,English,,CaspeR,Smoker,False,1st,Purr-Fectionists,PURR,Omen,Brimstone,,5,79,65,54,1.21,2.04,203,15.8,13.0,10.8
Thailand,South East Asia,Thai,,,Cendary,Smoker,False,7th-8th,LILAX,LI,Clove,,,9,173,167,68,1.03,1.44,276,19.2,18.5,7.5
South Korea,South Korea,Korean,,,Chamsae,Smoker,False,4th,SGA InCheon,SGA,Omen,Harbor,Brimstone,5,55,67,33,0.82,1.31,151,11.0,13.4,6.6
Singapore,South East Asia,Mandarin,English,Malay,Chloettw,Support,False,4th,4Fun (Filipino team),4F,Clove,Sova,Gekko,5,77,74,42,1.04,1.6,239,15.4,14.8,8.4
Thailand,South East Asia,Thai,,,Coyote,Entry,False,9th-12th,Panny Sitter,PS,Raze,Jett,,6,92,98,16,0.93,1.1,219,15.3,16.3,2.6
Japan,Japan,Japanese,,,Curumi,Support,False,2nd,FENNEL Female,FL,Breach,Viper,KAY/O,16,208,235,163,0.88,1.57,187,13.0,14.6,10.1
Japan,Japan,Japanese,,,Daf,Support,False,7th-8th,DetonatioN FocusMe GC,DFM,Fade,Sova,,4,42,57,19,0.73,1.07,172,10.5,14.2,4.7
South Korea,South Korea,Korean,,,Dannn,Flex,False,2nd,URACHACHA GC,UR,Sova,Astra,Killjoy,10,132,142,44,0.92,1.23,175,13.2,14.2,4.4
Vietnam,South East Asia,Vietnamese,,,Dau7,Entry,False,9th-12th,RIMA GC,RIMA,Raze,Neon,Jett,9,146,141,37,1.03,1.29,233,16.2,15.6,4.1
Philippines,South East Asia,Filipino,English,,DelBisky,Smoker,False,3rd,BOBA,BOBA,Clove,Omen,Reyna,15,206,217,105,0.94,1.43,195,13.7,14.4,7.0
South Korea,South Korea,Korean,,,Delilah,Entry,False,2nd,URACHACHA GC,UR,Jett,Raze,Neon,10,144,151,37,0.95,1.19,202,14.4,15.1,3.7
Japan,Japan,Japanese,,,Dia,Entry,False,5th-6th,SCARZ GC,SZ,Raze,Jett,,7,127,131,32,0.96,1.21,245,18.1,18.7,4.5
Australia,Oceania,English,,,Dil,Smoker,False,9th-10th,Clueless,CLS,Clove,Viper,,4,51,74,26,0.68,1.04,164,12.7,18.5,6.5
Japan,Japan,Japanese,,,Dori,Support,False,4th,Cyber Geek,CYG,KAY/O,Gekko,Breach,9,128,134,73,0.95,1.5,183,14.2,14.8,8.1
Thailand,South East Asia,Thai,,,Dyummy,Support,False,13th-16th,FULL SENSE Pink,FS,KAY/O,Skye,Breach,5,64,75,45,0.85,1.45,146,12.8,15.0,9.0
Australia,Oceania,English,,,EKS,Smoker,False,5th-6th,Evergarden GC,EV,Omen,Brimstone,Viper,9,98,136,57,0.72,1.13,174,10.8,15.1,6.3
Indonesia,Oceania,English,Indonesian,,Emi,Anchor,False,1st,swaglord9000,SL9,Deadlock,Yoru,Killjoy,10,162,107,68,1.51,2.14,243,16.2,10.7,6.8
Indonesia,South East Asia,Indonesian,,,Enerii,Entry,False,1st,Xipto Esports,XIP,Raze,Jett,Deadlock,14,264,149,60,1.77,2.17,310,18.8,10.6,4.2
Singapore,South East Asia,Mandarin,English,Malay,Envious,Flex,False,5th-6th,Cardboard Dinosaur,CBD,Omen,Jett,Breach,13,181,225,94,0.8,1.22,196,13.9,17.3,7.2
Australia,Oceania,English,,,Evalin,Entry,False,5th-6th,Scissor Sisters,SNIP,Reyna,Clove,Jett,6,58,87,35,0.66,1.06,162,9.6,14.5,5.8
South Korea,South Korea,Korean,,,Even1ng,Smoker,False,3rd,Nuclear GC,NC,Fade,Omen,Brimstone,7,88,105,38,0.83,1.2,171,12.5,15.0,5.4
Thailand,South East Asia,Thai,,,Felce,Support,False,5th-6th,Invincible gc,INVI,Clove,Sova,Fade,12,202,204,77,0.99,1.36,208,16.8,17.0,6.4
South Korea,Japan,Japanese,Korean,,Festival,Entry,False,7th-8th,Meteor GC,MTR,Jett,Raze,,5,92,82,10,1.12,1.24,243,18.4,16.4,2.0
Australia,Oceania,English,,,Froggie,Anchor,False,7th-8th,Blossom (Australian team),BLSM,Killjoy,Cypher,,6,80,86,19,0.93,1.15,180,13.3,14.3,3.1
South Korea,Japan,Japanese,Korean,,FullMoon,Flex,False,7th-8th,Meteor GC,MTR,Cypher,Iso,Clove,5,92,89,26,1.03,1.32,234,18.4,17.8,5.2
South Korea,Japan,Japanese,Korean,,GGonyaK,Anchor,False,4th,Cyber Geek,CYG,Sage,Killjoy,Cypher,9,147,134,43,1.09,1.41,209,16.3,14.8,4.7
Australia,Oceania,English,,,Gold,Support,False,5th-6th,Evergarden GC,EV,Sova,Skye,Breach,9,64,131,59,0.48,0.93,105,7.1,14.5,6.5
Japan,Japan,Japanese,,,HANE,Support,False,3rd,Reignite Lily,RIG,KAY/O,Omen,Breach,13,196,217,125,0.9,1.47,192,15.0,16.6,9.6
South Korea,Japan,Japanese,Korean,,HakuNa,Anchor,False,3rd,Reignite Lily,RIG,Killjoy,Cypher,Viper,13,200,187,60,1.06,1.39,202,15.3,14.3,4.6
Australia,Oceania,English,,,Hayyel,Anchor,False,3rd,DXA Esports GC,DXA,Cypher,Killjoy,Reyna,10,146,127,47,1.14,1.51,236,14.6,12.7,4.7
South Korea,Japan,Japanese,Korean,,Healing,Support,False,5th-6th,DRX Changers,DRX,KAY/O,Fade,Skye,7,103,110,67,0.93,1.54,200,14.7,15.7,9.5
Philippines,South East Asia,Filipino,English,,Heather,Support,False,13th-16th,Livestrong Queens,LQ,Breach,Sova,,5,52,78,32,0.66,1.07,157,10.4,15.6,6.4
South Korea,South Korea,Korean,,,HellenCoco,Flex,False,4th,SGA InCheon,SGA,Jett,Gekko,,5,73,72,4,1.01,1.06,206,14.6,14.4,0.8
Philippines,South East Asia,Filipino,English,,Ivory,Entry,False,4th,4Fun (Filipino team),4F,Jett,Reyna,Neon,15,210,238,60,0.88,1.13,204,14.0,15.8,4.0
Australia,Oceania,English,,,JUN1,Smoker,False,3rd,DXA Esports GC,DXA,Omen,Viper,Clove,10,115,136,78,0.84,1.41,178,11.5,13.6,7.8
Philippines,South East Asia,Filipino,English,,Jaja,Anchor,False,13th-16th,Livestrong Queens,LQ,Cypher,Jett,Killjoy,5,70,70,18,1.0,1.25,209,14.0,14.0,3.6
Thailand,South East Asia,Thai,,,JajaA,Anchor,False,9th-12th,LILITH,LL,Killjoy,,,2,19,25,4,0.76,0.92,146,9.5,12.5,2.0
Philippines,South Asia,Filipino,English,,Japips,Support,False,3rd-4th,Asmodeus Colosseum Esports,ACE,Breach,,,2,30,32,20,0.93,1.56,196,15.0,16.0,10.0
Thailand,South East Asia,Thai,,,Jelerak,Flex,False,7th-8th,LILAX,LI,KAY/O,Clove,Sage,11,121,164,86,0.73,1.26,178,11.0,14.9,7.8
Australia,Oceania,English,,,Jess,Smoker,False,4th,Vixens (Australian team),VIX,Brimstone,Omen,Viper,12,185,159,81,1.16,1.67,220,15.4,13.2,6.7
Philippines,South East Asia,Filipino,English,,Jingji,Support,False,13th-16th,BAS.Kitsune,BAS.K,Sova,Skye,,4,42,63,9,0.66,0.8,162,10.5,15.7,2.2
New Zealand,Oceania,English,Maori,,Jinx,Entry,False,7th-8th,Polar bear,BEAR,Omen,Neon,Iso,4,63,61,23,1.03,1.4,222,15.7,15.2,5.7
Philippines,South East Asia,Filipino,English,,Kachow,Anchor,False,13th-16th,Watermelon,,Killjoy,Cypher,,6,65,80,14,0.81,0.98,161,10.8,13.3,2.3
Philippines,South East Asia,Filipino,English,,Kamiyu,Support,False,1st,Xipto Esports,XIP,Skye,Sova,Gekko,14,200,131,102,1.52,2.3,221,14.2,9.3,7.2
