country,valo_region,lang_1,lang_2,lang_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Taiwan,CN,Mandarin Chinese,,,Yuicaw,Flex,FALSE,9th,Wolves Esports,WOL,Gekko,Brimstone,Jett,9,181,140,74,1.29,1.82,254,20.1,15.5,8.2
Taiwan,CN,Mandarin Chinese,,,Spring,Fragger,FALSE,9th,Wolves Esports,WOL,Raze,Jett,Killjoy,9,155,153,45,1.01,1.3,233,17.2,17,5
Australia,CN,English,Mandarin Chinese,,pl1xx,Scanner,FALSE,9th,Wolves Esports,WOL,KAY/O,Sage,Fade,9,130,139,79,0.93,1.5,194,14.4,15.4,8.7
China,CN,Mandarin Chinese,,,aluba,Smoker,FALSE,9th,Wolves Esports,WOL,Omen,Killjoy,Viper,9,137,137,48,1,1.35,189,15.2,15.2,5.3
Hong Kong,CN,Mandarin Chinese,Cantonese Chinese,,SiuFatBB,Scanner,TRUE,9th,Wolves Esports,WOL,Breach,Viper,Gekko,9,114,116,68,0.98,1.56,160,12.6,12.8,7.5
Brazil,AMER,Portugese,,,Palla,Fragger,FALSE,11th,MIBR,MIBR,Raze,Jett,NA,9,134,157,27,0.85,1.02,221,14.8,17.4,3
Brazil,AMER,Portugese,,,rich,Scanner,FALSE,11th,MIBR,MIBR,Sova,Skye,Gekko,9,124,137,45,0.9,1.23,192,13.7,15.2,5
United States,AMER,English,,,s0m,Smoker,FALSE,8th,NRG,NRG,Omen,Brimstone,Viper,10,166,147,97,1.12,1.78,224,16.6,14.7,9.7
United States,AMER,English,,,Ethan,Scanner,FALSE,8th,NRG,NRG,KAY/O,Breach,Yoru,10,164,152,92,1.07,1.68,222,16.4,15.2,9.2
United States,AMER,English,,,Victor,Fragger,FALSE,8th,NRG,NRG,Neon,Jett,Raze,10,161,165,37,0.97,1.2,214,16.1,16.5,3.7
France,EMEA,French,,,nataNk,Flex,FALSE,9th,Gentle Mates,GM,Raze,Sova,Sage,13,212,193,72,1.09,1.47,229,16.3,14.8,5.5
