platformGameId,esportsGameId,tournamentId,teamMapping.18,teamMapping.19,participantMapping.1,participantMapping.2,participantMapping.3,participantMapping.4,participantMapping.5,participantMapping.6,participantMapping.7,participantMapping.8,participantMapping.9,participantMapping.10,teamMapping.16,teamMapping.17,teamMapping.20,teamMapping.21,teamMapping.22
val:cb611626-2910-46d3-8678-6501bf317f9f,109711321499314292,109711321498527756,107722603442258744,105830904252954968,106651749419114537,106651802407300792,107042219803278491,106652162020663630,106651747523026980,107735297326632949,106651763961975955,106651804162806952,106652153897244072,107723776556509563,0,0,0,0,0
val:c1514574-4ba4-4ad3-b5ef-dbfef9976946,108871629798741440,108871629797692793,0,0,106525489805459472,108273989413516929,108273958835992183,106525538484682825,106664993881319312,106230274512017155,106230271915475632,103537287230111095,107764993888872529,107729646065265994,105680972836508184,105748037960121143,0,0,0
val:1db2b321-85bd-4c8c-9ec8-8063e869119f,110551570692873336,110551570691955817,0,0,106651749419114537,106651802407300792,107042219803278491,106652162020663630,106651747523026980,108695550169204401,108695555965222493,108695542868559528,108695559262017364,108695564980340715,0,0,108696151689107350,105830904252954968,0
val:44f65f2d-1de9-43da-8df3-c543ef0ac5a8,108871676165986748,108871629797692793,107772915726436635,0,106525473804840689,106525472657113092,106525470504910842,106525474853482229,106732998058142840,106532686424986077,106532652856312203,106532684877070738,106535378430874709,106532683698754008,0,107795656627193642,0,0,0
val:093dcb1f-0350-4c44-aecb-c07972bb8da3,109999128958790492,109999128956889858,0,0,107786690677632484,108329605365228616,106532640888279481,106532650225238403,106535376300475294,109816693557586718,107760828736855945,106230370674623216,107760829357934370,109794898623952350,0,0,0,109710990829217937,105665378258561492
val:93c38186-0e1e-4c85-bb6b-db00377fc577,109974888243571293,109974888242063857,0,0,107056171907794810,107056191044293045,110060008637724022,106229950694048376,110060010341614487,106172884274766485,106172926875591321,106490001132942692,106156791842474396,106156788001006057,0,0,0,105623681847525855,106013968992887532
val:561875eb-c235-4a1a-b4fd-6a7acab0a274,109711321499314253,109711321498527756,105680972836508184,105680883461219195,106230224874717841,106651793396690606,106652157508218765,106652155439574920,106230238671593346,106652148735956386,106230271915475632,103537287230111095,107764993888872529,109715242341114817,0,0,0,0,0
val:03a8f956-3b42-4d3e-80f6-6e67a5d9f8e2,109999128958790412,109999128956889858,0,0,106605634242475474,106230314603135695,106605622159876355,108718263033219961,107842973215786115,106535376300475294,106532836263981380,106532640888279481,108329605365228616,107786690677632484,0,0,0,105665378258561492,105787569021644540
val:74cd4765-1bbe-4d03-ac17-31ef21931925,109711321499314241,109711321498527756,105680972836508184,107722603442258744,107735297326632949,106651763961975955,106651804162806952,106652153897244072,107723776556509563,106652148735956386,106230271915475632,103537287230111095,107764993888872529,109715242341114817,0,0,0,0,0
val:6cb57574-96d4-43e3-821c-50c117f7eb79,109999128958790430,109999128956889858,0,0,106605634242475474,106230314603135695,106605660674445443,108718263033219961,107842973215786115,109795063140126742,107769215639766462,107056206425868168,109816688638956485,106230346579238832,0,0,0,105827039633208481,105787569021644540
val:88186f47-3caa-4446-a513-f460dc807cbf,109999128958790461,109999128956889858,0,0,107926951905638936,106532686424986077,106532652856312203,106532684877070738,106532683698754008,109795063140126742,107769215639766462,107056206425868168,109816688638956485,106230346579238832,0,0,0,105827039633208481,107795656627193642
val:306334da-5966-407a-bcfd-7cae27157bf4,110445180514934066,110445180514540816,0,107795656627193642,109980839435632237,106525490978488340,107769215218413128,107891889389481497,107769215086183858,107926951905638936,106532686424986077,106532652856312203,106532684877070738,106532683698754008,0,0,107772960652844036,0,0
val:1665c0a2-ad7c-4182-a621-83de6281a4c2,110551570692873367,110551570691955817,0,0,109795063140126742,107769215639766462,107056206425868168,109816688638956485,106230346579238832,106651830913232582,106651844850933902,106651939810727172,106651824037159030,106651846714581139,0,0,105720659034682989,105827039633208481,0
val:d7992b50-b185-426b-ad3f-1d52940192fc,108871676165921190,108871629797692793,105680883461219195,0,106651780552777811,106230238671593346,106230236294103708,107054598846006993,106230224874717841,106230274512017155,106230271915475632,103537287230111095,107764993888872529,107729646065265994,0,105680972836508184,0,0,0
val:7496d4af-c936-4999-9c98-65167043b27d,109999128958790509,109999128956889858,0,0,106532933054820788,107019802340030902,106525410665758661,106605693810374153,106668472978208449,106668475658821122,109795054732626044,106724757750442614,107760836132855837,108276661399055023,0,0,0,108276637165440022,107019798230895224
val:e8af2ac9-3353-4f81-ad0f-e1e029059c90,109974888243636882,109974888242063857,0,0,106525414942310346,106525490978488340,107769215218413128,107891889389481497,107769215086183858,107056171907794810,107056191044293045,110060008637724022,106229950694048376,110060010341614487,0,0,0,106013968992887532,107772960652844036
val:c37f028b-08bd-43a0-ac61-d1ffc2ce20f8,110445220928937111,110445220928609427,0,105795137629057449,106535378430874709,106532686424986077,106532652856312203,106532684877070738,106532683698754008,106724771285467852,106724769775977160,106724767436961366,106230374904906489,107760969753086434,0,0,107795656627193642,0,0
val:baa6fccd-3050-4b87-8758-b789f0b288ac,109998160289081372,109711321498527756,105680883461219195,105720659034682989,106651830913232582,106651844850933902,106651939810727172,106651824037159030,106651846714581139,106230224874717841,106651793396690606,106652157508218765,106652155439574920,106230238671593346,0,0,0,0,0
val:9dc9c7c5-e89b-4ac8-be0a-08c926478d27,108517718726764933,108517718725650809,0,0,106490001132942692,108395376345727088,106489999216559638,106489997517407761,106489985594967563,106532686424986077,106532652856312203,106532684877070738,106535378430874709,106532683698754008,0,0,0,107795656627193642,105788004225594471
val:cfc9f190-78ef-4f2a-b027-b496ddc15386,109711032720270189,109710937834457925,0,0,106651779012842654,106651760411992132,106651771010372760,106651772642189389,106652047423889687,106652148735956386,106230271915475632,103537287230111095,107764993888872529,109715242341114817,0,0,0,105680972836508184,106652371451437497
val:8336c427-e380-4354-8fd1-590ea582316f,109711321499314205,109711321498527756,108241004210065453,107735185441106189,106651978230682922,107735279244326096,106651885259412708,106651979628500270,109715242138313831,107729645884517702,109794592383700732,106230236294103708,107736272464564718,107054598846006993,0,0,0,0,0
