teamMapping.18,teamName,kills,deaths,assists,KDA_ratio
105665378258561492,Gen.G ,177,20,10,
105665378258561492,Gen.G Esports,177,20,10,
105665869861005803,Sentinels,60,12,24,7.0
105680883461219195,Team Liquid,5005,2555,765,
105680908693496715,FunPlus Phoenix,1260,780,300,2.074074074074074
105680972836508184,FNATIC,5315,2980,965,
105720659034682989,FUT Esports,1382,632,250,
105720659034682989,Futbolist,691,316,125,
105751765959424656,Team Heretics,596,205,94,
105788004225594471,Leviatán Esports,98,42,0,2.3333333333333335
105830904252954968,GIANTS,440,213,104,
105830904252954968,GiantX,880,426,208,
105830904252954968,Giants,880,426,208,
105830904252954968,Vodafone Giants,1320,639,312,
106013381894847385,Team Vitality,2258,1296,370,
106652371451437497,NAVI,1816,884,186,
106652371451437497,Natus Vincere,908,442,93,
107722603442258744,KOI,717,457,127,
107735185441106189,BBL,626,209,29,
107735185441106189,BBL Esports,626,209,29,
107745125595754895,LOUD,638,188,98,
107795656627193642,DRX,1344,471,117,
108241004210065453,Karmine Corp,724,310,91,
108696151689107350,EDWARD Gaming,98,42,0,2.3333333333333335
108696151689107350,EDward Gaming,196,84,0,2.3333333333333335
109636584963315880,Gentle Mates,317,116,54,
